word_id	seg_id	spkr_id	language	spkr_gender	spkr_age	split	start	end	duration	num_ph	orth	phon	IPA	correct_IPA	frequency	file
CZE089_90_2	CZE089_90	CZE089	CZE	female	18.0	DEV	1.04	1.55	0.51	9	listopadu	l i s t o p a d u	l i s t o p a d u	l i s t o p a d u	10	Czech/wav/089/CZ089_90.wav
DEU055_32_8	DEU055_32	DEU055	DEU	male		TRA	3.22	3.56	0.34	5	nichts	n i C ts	n ɪ ç t s	n ɪ ç t s	68	German/wav/055/GE055_32.wav
DEU014_175_5	DEU014_175	DEU014	DEU	male		DEV	1.88	2.11	0.23	4	nicht	n i C t	n ɪ ç t	n ɪ ç t	1251	German/wav/014/GE014_175.wav
CZE014_76_9	CZE014_76	CZE014	CZE	female	21.0	TRA	3.31	3.5	0.19	4	nebo	n e b o	n ɛ b o	n ɛ b o	738	Czech/wav/014/CZ014_76.wav
CZE021_109_21	CZE021_109	CZE021	CZE	female	19.0	TRA	7.79	8.49	0.7	10	eliminoval	e l i m i n o v a l	ɛ l i m i n o v a l	ɛ l i m i n o v a l	52	Czech/wav/021/CZ021_109.wav
CZE022_140_17	CZE022_140	CZE022	CZE	male	47.0	TRA	7.93	8.44	0.51	7	zákonem	z aa k o n e m	z aː k o n ɛ m	z aː k o n ɛ m	113	Czech/wav/022/CZ022_140.wav
CZE029_54_24	CZE029_54	CZE029	CZE	female	19.0	TRA	6.68	6.93	0.25	5	pěti	p j e tj i	p j ɛ c i	p j ɛ c i	61	Czech/wav/029/CZ029_54.wav
DEU006_148_21	DEU006_148	DEU006	DEU	male		TRA	10.75	11.1	0.35	4	sind	z i n t	z ɪ n t	z ɪ n t	377	German/wav/006/GE006_148.wav
CZE038_48_6	CZE038_48	CZE038	CZE	male	21.0	TRA	3.81	4.26	0.45	5	které	k t e r ee	k t ɛ r ɛː	k t ɛ r ɛː	728	Czech/wav/038/CZ038_48.wav
DEU004_137_3	DEU004_137	DEU004	DEU	male		DEV	1.05	1.7	0.65	12	rettungskräfte	r e t u ng s k r f t etu	r ɛ t ʊ ŋ s k r ɛ f t ə	r ɛ t ʊ ŋ s k r ɛ f t ə	2	German/wav/004/GE004_137.wav
DEU059_71_16	DEU059_71	DEU059	DEU	male		TRA	5.61	6.63	1.02	8	begegnen	b etu g el g n etu n	b ə ɡ eː ɡ n ə n	b ə ɡ eː ɡ n ə n	4	German/wav/059/GE059_71.wav
CZE041_107_7	CZE041_107	CZE041	CZE	female	18.0	TRA	3.56	4.45	0.89	9	účastníků	uu ch a s t nj ii k uu	uː t̠ʃ a s t ɲ iː k uː	uː t̠ʃ a s t ɲ iː k uː	58	Czech/wav/041/CZ041_107.wav
CZE034_65_11	CZE034_65	CZE034	CZE	female	21.0	TRA	5.49	5.96	0.47	7	rozjezd	r o z j e s t	r o z j ɛ s t	r o z j ɛ s t	2	Czech/wav/034/CZ034_65.wav
CZE056_18_14	CZE056_18	CZE056	CZE	male	22.0	DEV	7.68	8.27	0.59	9	notářství	n o t aa rsh s t v ii	n o t aː r̝ s t v iː	n o t aː r̝ s t v iː	13	Czech/wav/056/CZ056_18.wav
CZE051_58_3	CZE051_58	CZE051	CZE	male	25.0	TRA	1.38	1.65	0.27	4	nyní	n i nj ii	n i ɲ iː	n i ɲ iː	126	Czech/wav/051/CZ051_58.wav
CZE091_63_11	CZE091_63	CZE091	CZE	female	20.0	DEV	5.52	6.4	0.88	8	desátého	d e s aa t ee h o	d ɛ s aː t ɛː ɦ o	d ɛ s aː t ɛː ɦ o	3	Czech/wav/091/CZ091_63.wav
DEU069_61_26	DEU069_61	DEU069	DEU	male		TRA	11.24	11.31	0.07	6	ddr	t t	d eː d eː ɛ ʀ	d eː d eː ɛ ʀ	40	German/wav/069/GE069_61.wav
DEU012_42_10	DEU012_42	DEU012	DEU	male		TRA	4.52	4.9	0.38	5	vielen	f il l etu n	f iː l ə n	f iː l ə n	24	German/wav/012/GE012_42.wav
DEU014_55_2	DEU014_55	DEU014	DEU	male		DEV	0.39	0.66	0.27	5	sollte	z o l t etu	z ɔ l t ə	z ɔ l t ə	69	German/wav/014/GE014_55.wav
CZE008_90_36	CZE008_90	CZE008	CZE	male	27.0	TRA	15.35	15.86	0.51	6	úvěrů	uu v j e r uu	uː v j ɛ r uː	uː v j ɛ r uː	10	Czech/wav/008/CZ008_90.wav
CZE031_122_1	CZE031_122	CZE031	CZE	male	21.0	TRA	0.59	1.11	0.52	5	soudní	s ow d nj ii	s ou̯ d ɲ iː	s o u ̯ d ɲ iː	73	Czech/wav/031/CZ031_122.wav
CZE044_19_19	CZE044_19	CZE044	CZE	male	20.0	TRA	8.5	9.13	0.63	8	součástky	s ow ch aa s t k i	s ou̯ t̠ʃ aː s t k i	s o u ̯ t̠ʃ aː s t k i	3	Czech/wav/044/CZ044_19.wav
DEU005_182_3	DEU005_182	DEU005	DEU	male		TRA	1.14	1.55	0.41	6	gelten	g e l t etu n	ɡ ɛ l t ə n	ɡ ɛ l t ə n	19	German/wav/005/GE005_182.wav
CZE026_130_1	CZE026_130	CZE026	CZE	male	25.0	EVA	0.74	1.04	0.3	4	její	j e j ii	j ɛ j iː	j ɛ j iː	191	Czech/wav/026/CZ026_130.wav
CZE092_13_45	CZE092_13	CZE092	CZE	female	19.0	EVA	18.16	18.59	0.43	7	prvního	p r v nj ii h o	p r̩ v ɲ iː ɦ o	p r̩ v ɲ iː ɦ o	13	Czech/wav/092/CZ092_13.wav
DEU038_63_6	DEU038_63	DEU038	DEU	male		TRA	2.04	2.45	0.41	6	freitag	f r aI t al k	f r aɪ t aː k	f r a ɪ t aː k	52	German/wav/038/GE038_63.wav
CZE017_131_3	CZE017_131	CZE017	CZE	female	46.0	EVA	0.97	1.22	0.25	4	nyní	n i nj ii	n i ɲ iː	n i ɲ iː	126	Czech/wav/017/CZ017_131.wav
CZE033_72_1	CZE033_72	CZE033	CZE	male	18.0	DEV	0.18	0.58	0.4	5	české	ch e s k ee	t̠ʃ ɛ s k ɛː	t̠ʃ ɛ s k ɛː	310	Czech/wav/033/CZ033_72.wav
CZE058_95_4	CZE058_95	CZE058	CZE	male	21.0	TRA	2.75	3.44	0.69	8	právního	p r aa v nj ii h o	p r aː v ɲ iː ɦ o	p r aː v ɲ iː ɦ o	11	Czech/wav/058/CZ058_95.wav
DEU007_51_2	DEU007_51	DEU007	DEU	male		TRA	0.62	1.09	0.47	6	haltung	h a l t u ng	h a l t ʊ ŋ	h a l t ʊ ŋ	13	German/wav/007/GE007_51.wav
DEU033_56_3	DEU033_56	DEU033	DEU	male		TRA	0.78	1.02	0.24	7	nächsten	n k s t etu n	n ɛ ç s t ə n	n ɛ ç s t ə n	20	German/wav/033/GE033_56.wav
DEU023_71_1	DEU023_71	DEU023	DEU	male		TRA	0.25	0.71	0.46	6	gemeint	g etu m a i n t	ɡ ə m aɪ n t	ɡ ə m a ɪ n t	4	German/wav/023/GE023_71.wav
DEU007_162_13	DEU007_162	DEU007	DEU	male		TRA	5.37	6.16	0.79	8	geradezu	g etu r al d etu ts ul	ɡ ə r a d eː ts uː	ɡ ə r a d eː ts uː	7	German/wav/007/GE007_162.wav
CZE006_96_3	CZE006_96	CZE006	CZE	female	26.0	TRA	1.48	1.88	0.4	7	lidských	l i t s k ii x	l i t s k iː x	l i t s k iː x	23	Czech/wav/006/CZ006_96.wav
CZE073_17_9	CZE073_17	CZE073	CZE	female	21.0	TRA	3.93	4.5	0.57	5	millsu	m i l s u	m i l s u	m i l s u	2	Czech/wav/073/CZ073_17.wav
DEU033_35_8	DEU033_35	DEU033	DEU	male		TRA	2.4	2.82	0.42	7	gelingen	g etu l i ng etu n	ɡ ə l ɪ ŋ ə n	ɡ ə l ɪ ŋ ə n	8	German/wav/033/GE033_35.wav
DEU052_47_6	DEU052_47	DEU052	DEU	male		DEV	0.94	1.21	0.27	4	leute	l eU t etu	l ɔɪ t ə	l ɔ ɪ t ə	11	German/wav/052/GE052_47.wav
DEU005_29_18	DEU005_29	DEU005	DEU	male		TRA	7.11	7.49	0.38	7	entführt	e n t f r t	ɛ n t f yː ʀ t	ɛ n t f yː ʀ t	4	German/wav/005/GE005_29.wav
DEU041_38_21	DEU041_38	DEU041	DEU	male		TRA	7.52	7.89	0.37	6	monate	m ol n a t etu	m oː n aː t ə	m oː n aː t ə	23	German/wav/041/GE041_38.wav
DEU071_95_13	DEU071_95	DEU071	DEU	male		TRA	5.33	5.86	0.53	6	kritik	k r il t il k	k r iː t iː k	k r iː t iː k	30	German/wav/071/GE071_95.wav
CZE087_4_5	CZE087_4	CZE087	CZE	female	44.0	DEV	2.42	2.69	0.27	4	leží	l e zh ii	l ɛ ʒ iː	l ɛ ʒ iː	2	Czech/wav/087/CZ087_4.wav
CZE076_103_21	CZE076_103	CZE076	CZE	male	25.0	TRA	8.85	9.14	0.29	5	těchto	tj e x t o	c ɛ x t o	c ɛ x t o	55	Czech/wav/076/CZ076_103.wav
CZE020_114_7	CZE020_114	CZE020	CZE	female	25.0	TRA	3.01	3.54	0.53	6	zdroji	z d r o j i	z d r o j i	z d r o j i	52	Czech/wav/020/CZ020_114.wav
DEU072_43_3	DEU072_43	DEU072	DEU	male		TRA	1.61	2.06	0.45	5	haben	h al b etu n	h aː b ə n	h aː b ə n	290	German/wav/072/GE072_43.wav
DEU012_109_16	DEU012_109	DEU012	DEU	male		TRA	6.46	6.95	0.49	6	eigenen	a i g etu n etu n	aɪ ɡ ə n ə n	a ɪ ɡ ə n ə n	43	German/wav/012/GE012_109.wav
CZE074_75_6	CZE074_75	CZE074	CZE	male	23.0	TRA	3.53	4.06	0.53	7	nábytku	n aa b i t k u	n aː b i t k u	n aː b i t k u	11	Czech/wav/074/CZ074_75.wav
DEU024_80_16	DEU024_80	DEU024	DEU	male		TRA	5.37	5.57	0.2	4	nicht	n i C t	n ɪ ç t	n ɪ ç t	1251	German/wav/024/GE024_80.wav
CZE090_62_30	CZE090_62	CZE090	CZE	female	21.0	EVA	18.49	19.22	0.73	8	sedmnáct	s e d m n aa c t	s ɛ d m n aː ts t	s ɛ d m n aː ts t	4	Czech/wav/090/CZ090_62.wav
DEU012_184_5	DEU012_184	DEU012	DEU	male		TRA	2.83	3.2	0.37	6	drittel	d r i t etu l	d r ɪ t ə l	d r ɪ t ə l	9	German/wav/012/GE012_184.wav
CZE037_117_2	CZE037_117	CZE037	CZE	male	25.0	TRA	0.81	1.23	0.42	7	student	s t u d e n t	s t u d ɛ n t	s t u d ɛ n t	55	Czech/wav/037/CZ037_117.wav
DEU060_92_4	DEU060_92	DEU060	DEU	male		TRA	1.01	1.68	0.67	10	volkspartei	f o l k s p a r t aI	f ɔ l k s p a ʀ t aɪ	f ɔ l k s p a ʀ t a ɪ	2	German/wav/060/GE060_92.wav
CZE094_76_12	CZE094_76	CZE094	CZE	male	47.0	EVA	5.82	6.2	0.38	5	první	p r v nj ii	p r̩ v ɲ iː	p r̩ v ɲ iː	22	Czech/wav/094/CZ094_76.wav
CZE083_77_16	CZE083_77	CZE083	CZE	male	19.0	DEV	7.01	7.25	0.24	5	rychle	r i x l e	r i x l ɛ	r i x l ɛ	2	Czech/wav/083/CZ083_77.wav
CZE047_136_3	CZE047_136	CZE047	CZE	male	21.0	TRA	1.52	1.9	0.38	5	totiž	t o tj i sh	t o c i ʃ	t o c i ʃ	235	Czech/wav/047/CZ047_136.wav
CZE026_26_12	CZE026_26	CZE026	CZE	male	25.0	EVA	3.45	3.86	0.41	6	částku	ch aa s t k u	t̠ʃ aː s t k u	t̠ʃ aː s t k u	18	Czech/wav/026/CZ026_26.wav
DEU061_113_12	DEU061_113	DEU061	DEU	male		TRA	4.29	5.05	0.76	10	einzustellen	a i n ts ul S t e l etu n	aɪ n ts uː ʃ t ɛ l ə n	a ɪ n ts uː ʃ t ɛ l ə n	4	German/wav/061/GE061_113.wav
DEU005_84_2	DEU005_84	DEU005	DEU	male		TRA	1.13	1.34	0.21	4	hatte	h a t etu	h a t ə	h a t ə	208	German/wav/005/GE005_84.wav
DEU052_6_6	DEU052_6	DEU052	DEU	male		DEV	2.19	2.91	0.72	10	ausgebrochen	a u s g etu b r o x etu n	aʊ s ɡ ə b r ɔ x ə n	a ʊ s ɡ ə b r ɔ x ə n	13	German/wav/052/GE052_6.wav
DEU042_39_16	DEU042_39	DEU042	DEU	male		TRA	6.69	7.39	0.7	8	leisteten	l a i s t etu t etu n	l aɪ s t ə t ə n	l a ɪ s t ə t ə n	4	German/wav/042/GE042_39.wav
CZE080_68_5	CZE080_68	CZE080	CZE	male	18.0	TRA	2.31	2.9	0.59	9	přirozeně	p rsh i r o z e nj e	p r̝ i r o z ɛ ɲ ɛ	p r̝ i r o z ɛ ɲ ɛ	2	Czech/wav/080/CZ080_68.wav
CZE072_17_29	CZE072_17	CZE072	CZE	female	21.0	TRA	16.27	16.63	0.36	5	proti	p r o tj i	p r o c i	p r o c i	192	Czech/wav/072/CZ072_17.wav
CZE005_109_6	CZE005_109	CZE005	CZE	male	28.0	TRA	2.13	2.82	0.69	7	studii	s t u d i j i	s t u d i j i	s t u d i j i	52	Czech/wav/005/CZ005_109.wav
DEU008_152_1	DEU008_152	DEU008	DEU	female		DEV	0.34	0.75	0.41	6	wenige	v el n i g etu	v eː n ɪ ɡ ə	v eː n ɪ ɡ ə	2	German/wav/008/GE008_152.wav
CZE059_57_41	CZE059_57	CZE059	CZE	female	46.0	TRA	21.4	21.95	0.55	8	západním	z aa p a d nj ii m	z aː p a d ɲ iː m	z aː p a d ɲ iː m	2	Czech/wav/059/CZ059_57.wav
CZE006_114_4	CZE006_114	CZE006	CZE	female	26.0	TRA	1.78	2.41	0.63	9	provádějí	p r o v aa dj e j ii	p r o v aː ɟ ɛ j iː	p r o v aː ɟ ɛ j iː	54	Czech/wav/006/CZ006_114.wav
CZE054_68_2	CZE054_68	CZE054	CZE	male	23.0	EVA	1.15	1.65	0.5	8	používají	p ow zh ii v a j ii	p ou̯ ʒ iː v a j iː	p o u ̯ ʒ iː v a j iː	12	Czech/wav/054/CZ054_68.wav
DEU017_60_3	DEU017_60	DEU017	DEU	male		TRA	3.36	3.68	0.32	6	werden	v el r d etu n	v ɛ ʀ d ə n	v ɛ ʀ d ə n	618	German/wav/017/GE017_60.wav
CZE066_61_4	CZE066_61	CZE066	CZE	female	20.0	TRA	2.33	2.72	0.39	4	zemí	z e m ii	z ɛ m iː	z ɛ m iː	37	Czech/wav/066/CZ066_61.wav
CZE092_10_11	CZE092_10	CZE092	CZE	female	19.0	EVA	4.54	4.99	0.45	5	text	t e k s t	t ɛ k s t	t ɛ k s t	6	Czech/wav/092/CZ092_10.wav
DEU039_16_4	DEU039_16	DEU039	DEU	male		TRA	1.63	1.96	0.33	4	wird	v i atu t	v ɪ ʀ t	v ɪ ʀ t	392	German/wav/039/GE039_16.wav
DEU003_33_9	DEU003_33	DEU003	DEU	male		DEV	3.03	3.47	0.44	8	amtlichen	a m t l i C etu n	a m t l ɪ ç ə n	a m t l ɪ ç ə n	2	German/wav/003/GE003_33.wav
CZE029_81_1	CZE029_81	CZE029	CZE	female	19.0	TRA	0.0	0.26	0.26	5	firma	f i r m a	f i r m a	f i r m a	134	Czech/wav/029/CZ029_81.wav
DEU016_56_9	DEU016_56	DEU016	DEU	male		EVA	4.64	5.01	0.37	4	eines	a i n etu s	aɪ n ə s	a ɪ n ə s	155	German/wav/016/GE016_56.wav
CZE029_83_11	CZE029_83	CZE029	CZE	female	19.0	TRA	3.49	4.01	0.52	8	manažera	m a n a zh e r a	m a n a ʒ ɛ r a	m a n a ʒ ɛ r a	17	Czech/wav/029/CZ029_83.wav
CZE058_98_12	CZE058_98	CZE058	CZE	male	21.0	TRA	4.92	5.46	0.54	4	úctě	uu c tj e	uː ts c ɛ	uː ts c ɛ	2	Czech/wav/058/CZ058_98.wav
CZE001_13_1	CZE001_13	CZE001	CZE	female	51.0	TRA	0.5	1.07	0.57	6	přesto	p rsh e s t o	p r̝ ɛ s t o	p r̝ ɛ s t o	152	Czech/wav/001/CZ001_13.wav
CZE002_35_23	CZE002_35	CZE002	CZE	female	20.0	EVA	11.62	11.88	0.26	4	stal	s t a l	s t a l	s t a l	16	Czech/wav/002/CZ002_35.wav
DEU024_119_30	DEU024_119	DEU024	DEU	male		TRA	10.14	10.65	0.51	7	beraten	b etu r al t etu n	b ə r aː t ə n	b ə r aː t ə n	12	German/wav/024/GE024_119.wav
DEU043_85_10	DEU043_85	DEU043	DEU	male		TRA	3.27	4.03	0.76	10	ermöglichen	e r m g l i x etu n	ɛ ʀ m øː k l ɪ ç ə n	ɛ ʀ m øː k l ɪ ç ə n	4	German/wav/043/GE043_85.wav
CZE097_97_6	CZE097_97	CZE097	CZE	female	16.0	DEV	2.28	2.78	0.5	7	životech	zh i v o t e x	ʒ i v o t ɛ x	ʒ i v o t ɛ x	2	Czech/wav/097/CZ097_97.wav
DEU048_70_4	DEU048_70	DEU048	DEU	male		TRA	1.93	2.38	0.45	8	befanden	b etu f a n d etu n	b ə f a n d ə n	b ə f a n d ə n	7	German/wav/048/GE048_70.wav
CZE039_87_15	CZE039_87	CZE039	CZE	male	20.0	TRA	6.99	7.4	0.41	5	české	ch e s k ee	t̠ʃ ɛ s k ɛː	t̠ʃ ɛ s k ɛː	310	Czech/wav/039/CZ039_87.wav
CZE007_6_2	CZE007_6	CZE007	CZE	male	33.0	TRA	0.7	1.43	0.73	9	kooperace	k o o p e r a c e	k o o p ɛ r a ts ɛ	k o o p ɛ r a ts ɛ	5	Czech/wav/007/CZ007_6.wav
DEU072_55_5	DEU072_55	DEU072	DEU	male		TRA	3.41	4.17	0.76	10	eroberungen	e r ol b etu r u ng etu n	ɛ r oː b ə r ʊ ŋ ə n	ɛ r oː b ə r ʊ ŋ ə n	2	German/wav/072/GE072_55.wav
DEU015_135_2	DEU015_135	DEU015	DEU	male		TRA	0.99	1.17	0.18	5	länder	l n d atu	l ɛ n d ɛ	l ɛ n d ɛ	45	German/wav/015/GE015_135.wav
DEU045_76_14	DEU045_76	DEU045	DEU	male		TRA	6.24	6.74	0.5	6	rechnen	r e C n etu n	r ɛ ç n ə n	r ɛ ç n ə n	11	German/wav/045/GE045_76.wav
CZE053_28_10	CZE053_28	CZE053	CZE	male	20.0	TRA	4.05	4.55	0.5	7	sobotní	s o b o t nj ii	s o b o t ɲ iː	s o b o t ɲ iː	2	Czech/wav/053/CZ053_28.wav
DEU015_88_12	DEU015_88	DEU015	DEU	male		TRA	3.87	4.54	0.67	11	unterschiedliche	u n t etu r S il t l i C etu	ʊ n t ɛ ʃ iː t l ɪ ç ə	ʊ n t ɛ ʃ iː t l ɪ ç ə	5	German/wav/015/GE015_88.wav
DEU004_194_13	DEU004_194	DEU004	DEU	male		DEV	4.83	5.26	0.43	10	mindestens	m i n d etu s t etu n s	m ɪ n d ə s t ə n s	m ɪ n d ə s t ə n s	3	German/wav/004/GE004_194.wav
DEU002_62_10	DEU002_62	DEU002	DEU	male		DEV	4.77	5.69	0.92	11	ostdeutschland	o s t d eU t S l a n t	ɔ s t d ɔɪ t ʃ l a n t	ɔ s t d ɔ ɪ t ʃ l a n t	4	German/wav/002/GE002_62.wav
DEU006_9_19	DEU006_9	DEU006	DEU	male		TRA	7.77	8.66	0.89	12	konsequenzen	k o n z el k v e n ts etu n	k ɔ n z eː k v ɛ n ts ə n	k ɔ n z eː k v ɛ n ts ə n	11	German/wav/006/GE006_9.wav
DEU074_94_4	DEU074_94	DEU074	DEU	male		TRA	1.72	2.01	0.29	4	alte	a l t etu	a l t ə	a l t ə	54	German/wav/074/GE074_94.wav
DEU024_153_3	DEU024_153	DEU024	DEU	male		TRA	1.03	1.67	0.64	9	nuklearen	n u k l el al r etu n	n ʊ k l eː aː r ə n	n ʊ k l eː aː r ə n	2	German/wav/024/GE024_153.wav
CZE044_48_4	CZE044_48	CZE044	CZE	male	20.0	TRA	2.54	3.06	0.52	7	přináší	p rsh i n aa sh ii	p r̝ i n aː ʃ iː	p r̝ i n aː ʃ iː	5	Czech/wav/044/CZ044_48.wav
CZE067_99_4	CZE067_99	CZE067	CZE	male	21.0	TRA	2.06	2.42	0.36	6	začali	z a ch a l i	z a t̠ʃ a l i	z a t̠ʃ a l i	13	Czech/wav/067/CZ067_99.wav
CZE031_123_29	CZE031_123	CZE031	CZE	male	21.0	TRA	13.42	13.94	0.52	8	obchodních	o p x o d nj ii x	o p x o d ɲ iː x	o p x o d ɲ iː x	69	Czech/wav/031/CZ031_123.wav
CZE005_126_14	CZE005_126	CZE005	CZE	male	28.0	TRA	7.02	7.26	0.24	4	doby	d o b i	d o b i	d o b i	131	Czech/wav/005/CZ005_126.wav
CZE003_129_5	CZE003_129	CZE003	CZE	female	26.0	TRA	1.93	2.39	0.46	8	světový	s v j e t o v ii	s v j ɛ t o v iː	s v j ɛ t o v iː	53	Czech/wav/003/CZ003_129.wav
CZE011_26_7	CZE011_26	CZE011	CZE	female	47.0	TRA	2.45	3.11	0.66	7	prodejů	p r o d e j uu	p r o d ɛ j uː	p r o d ɛ j uː	3	Czech/wav/011/CZ011_26.wav
DEU053_47_14	DEU053_47	DEU053	DEU	male		TRA	5.1	5.56	0.46	7	drastisch	d r a s t i S	d r a s t ɪ ʃ	d r a s t ɪ ʃ	5	German/wav/053/GE053_47.wav
DEU012_174_4	DEU012_174	DEU012	DEU	male		TRA	1.24	1.55	0.31	4	erst	el r s t	eː ʀ s t	eː ʀ s t	98	German/wav/012/GE012_174.wav
CZE025_107_7	CZE025_107	CZE025	CZE	male	74.0	TRA	2.68	3.6	0.92	9	účastníků	uu ch a s t nj ii k uu	uː t̠ʃ a s t ɲ iː k uː	uː t̠ʃ a s t ɲ iː k uː	58	Czech/wav/025/CZ025_107.wav
CZE017_39_11	CZE017_39	CZE017	CZE	female	46.0	EVA	3.35	4.13	0.78	11	zákazníkovi	z aa k a z nj ii k o v i	z aː k a z ɲ iː k o v i	z aː k a z ɲ iː k o v i	5	Czech/wav/017/CZ017_39.wav
CZE076_36_26	CZE076_36	CZE076	CZE	male	25.0	TRA	10.88	11.39	0.51	7	hodnotu	h o d n o t u	ɦ o d n o t u	ɦ o d n o t u	26	Czech/wav/076/CZ076_36.wav
DEU057_71_14	DEU057_71	DEU057	DEU	male		TRA	4.85	5.16	0.31	6	wurden	v u atu d etu n	v ʊ ɐ d ə n	v ʊ ɐ d ə n	137	German/wav/057/GE057_71.wav
DEU006_123_24	DEU006_123	DEU006	DEU	male		TRA	10.59	10.95	0.36	5	führen	f r etu n	f yː r ə n	f yː r ə n	27	German/wav/006/GE006_123.wav
DEU006_29_9	DEU006_29	DEU006	DEU	male		TRA	4.29	4.89	0.6	4	unter	u n t atu	ʊ n t ɛ	ʊ n t ɛ	130	German/wav/006/GE006_29.wav
CZE004_57_16	CZE004_57	CZE004	CZE	female	58.0	TRA	9.56	10.03	0.47	5	tisíc	tj i s ii c	c i s iː ts	c i s iː ts	378	Czech/wav/004/CZ004_57.wav
DEU044_63_14	DEU044_63	DEU044	DEU	male		TRA	5.28	5.86	0.58	8	erklären	e r k l r etu n	ɛ ʀ k l ɛː r ə n	ɛ ʀ k l ɛː r ə n	11	German/wav/044/GE044_63.wav
DEU003_43_17	DEU003_43	DEU003	DEU	male		DEV	6.14	6.57	0.43	6	gewählt	g etu v l t	ɡ ə v ɛː l t	ɡ ə v ɛː l t	4	German/wav/003/GE003_43.wav
CZE023_28_3	CZE023_28	CZE023	CZE	female	25.0	TRA	1.28	1.58	0.3	4	mohl	m o h l	m o ɦ l̩	m o ɦ l̩	40	Czech/wav/023/CZ023_28.wav
CZE080_84_5	CZE080_84	CZE080	CZE	male	18.0	TRA	2.87	3.33	0.46	6	jediná	j e dj i n aa	j ɛ ɟ i n aː	j ɛ ɟ i n aː	9	Czech/wav/080/CZ080_84.wav
CZE008_134_18	CZE008_134	CZE008	CZE	male	27.0	TRA	9.38	9.98	0.6	7	padesát	p a d e s aa t	p a d ɛ s aː t	p a d ɛ s aː t	257	Czech/wav/008/CZ008_134.wav
CZE023_124_7	CZE023_124	CZE023	CZE	female	25.0	TRA	3.72	4.58	0.86	11	skutečnosti	s k u t e ch n o s tj i	s k u t ɛ t̠ʃ n o s c i	s k u t ɛ t̠ʃ n o s c i	120	Czech/wav/023/CZ023_124.wav
DEU033_28_9	DEU033_28	DEU033	DEU	male		TRA	3.27	3.57	0.3	4	schule	S ul l etu	ʃ uː l ə	ʃ uː l ə	9	German/wav/033/GE033_28.wav
CZE094_12_4	CZE094_12	CZE094	CZE	male	47.0	EVA	2.23	2.83	0.6	5	básně	b aa s nj e	b aː s ɲ ɛ	b aː s ɲ ɛ	2	Czech/wav/094/CZ094_12.wav
CZE007_132_33	CZE007_132	CZE007	CZE	male	33.0	TRA	9.96	10.56	0.6	8	výsledků	v ii s l e t k uu	v iː s l ɛ t k uː	v iː s l ɛ t k uː	65	Czech/wav/007/CZ007_132.wav
DEU038_71_3	DEU038_71	DEU038	DEU	male		TRA	0.88	1.71	0.83	10	enteignungen	e n t a i g n u ng etu n	ɛ n t aɪ ɡ n ʊ ŋ ə n	ɛ n t a ɪ ɡ n ʊ ŋ ə n	3	German/wav/038/GE038_71.wav
DEU025_10_4	DEU025_10	DEU025	DEU	male		TRA	1.47	1.96	0.49	7	anschläge	a n S l g etu	a n ʃ l ɛː ɡ ə	a n ʃ l ɛː ɡ ə	10	German/wav/025/GE025_10.wav
DEU038_98_2	DEU038_98	DEU038	DEU	male		TRA	1.26	1.64	0.38	6	kinkel	k i n k etu l	k ɪ n k ə l	k ɪ n k ə l	32	German/wav/038/GE038_98.wav
