Word	IPA transcription
состояния	s ʌ s t ʌ j a n i j a
предприятий	p rʲ i d p rʲ i j a t̪ʲ i j
позволяет	p ʌ z v ʌ lʲ ɑ j i t
оценить	ʌ t s ɨ n̪ʲ i t̪ʲ
доступность	d ʌ s t u p n ʌ s t̪ʲ
различных	r a zʲ lʲ i t̠ʃʲ n ɨ x
источников	ɪ s t o t̠ʃʲ n̪ʲ i k ʌ f
инвестиций	ɪ n vʲ i sʲ t̪ʲ i t s ɨ j
настоящее	n ʌ s t ʌ j a ʂ i j ɪ
время	v rʲ e mʲ ʌ
виить	vʲ i i t̪ʲ
институциональные	ɪ n sʲ t̪ʲ i t u t s ɨ ʌ n ɑ lʲ n ɨ j ɪ
фактэры	f a k t ɛ r ɨ
препятствующие	p rʲ i pʲ ɑ t s t v u j u ʂ i j ɪ
активизации	a k t̪ʲ i vʲ i z ɑ t s ɨ ɪ
инвестиционной	ɪ n vʲ i sʲ t̪ʲ i t s ɨ o n n ʌ j
политики	p ʌ lʲ i t̪ʲ i kʲ ɪ
промышленности	p r ʌ m ɨ ʃˠ lʲ i n n ʌ sʲ t̪ʲ ɪ
поле	p o lʲ i
чудес	t̠ʃʲ u d̪ʲ e s
стране	s t r a n̪ʲ e
дураков	d u r a k o f
тех	t̪ʲ e x
самых	s ɑ m ɨ x
недель	n̪ʲ i d̪ʲ e lʲ
которые	k ʌ t o r ɨ j ɪ
были	b ɨ lʲ ɪ
потеряны	p ʌ t̪ʲ e rʲ ʌ n ɨ
старые	s t ɑ r ɨ j ɪ
предвыборные	p rʲ i d v ɨ b ʌ r n ɨ j ɪ
кампании	k a m p ɑ n̪ʲ i ɪ
изза	i z z a
разрыва	r a z r ɨ v a
эРКэ-	e r k ɛ
КРО	k r o
Юрием	j u rʲ i j i m
Скоковым	s k ʌ k o v ɨ m
который	k ʌ t o r ɨ j
поверку	p ʌ vʲ e r k u
утверждению	u t vʲ i r ʒˠ d̪ʲ e n̪ʲ i j u
лебедевского	lʲ i bʲ i d̪ʲ e f s k ʌ v ʌ
окружения	ʌ k r u ʒˠ ɛ n̪ʲ i j a
оказался	ʌ k a z ɑ l sʲ ʌ
небескорыстным	n̪ʲ i bʲ i s k o r ɨ s t n ɨ m
подсадным	p ʌ d s ɑ d n ɨ m
казачком	k ʌ z a t̠ʃʲ k o m
приблизимся	p rʲ i b lʲ i zʲ i m sʲ ʌ
нет	n̪ʲ e t
сомнения	s ʌ m n̪ʲ e n̪ʲ i j a
те	t̪ʲ e
американские	a mʲ i rʲ i k ɑ n s kʲ i j ɪ
цифры	t s ɨ f r ɨ
видим	vʲ i d̪ʲ i m
не	n̪ʲ e
такие	t a kʲ i j ɪ
уж	u ʃˠ
недостижимые	n̪ʲ i d ʌ sʲ t̪ʲ i ʒˠ ɨ m ɨ j ɪ
если	j e s l ɪ
хватит	x v ɑ t̪ʲ i t
терпения	t̪ʲ i r pʲ e n̪ʲ i j a
воли	v o lʲ ɪ
продолжать	p r ʌ d ʌ l ʒˠ ɑ t̪ʲ
то	t o
начали	n ɑ t̠ʃʲ ʌ lʲ ɪ
этого	ɛ t ʌ v ʌ
нужно	n u ʒˠ n ʌ
бы	b ɨ
над	n ɑ t
ы	ɨ
было	b ɨ l ʌ
понять	p ʌ n̪ʲ ɑ t̪ʲ
а	ɑ
придется	p rʲ i d̪ʲ e t s ʌ
выбираем	v ɨ bʲ i r ɑ j i m
мы	m ɨ
вовсе	v o f sʲ i
персону	pʲ i r s o n u
Ельцина	j e lʲ t s ɨ n a
Зюганова	zʲ u ɡ ɑ n ʌ v a
могу	m ʌ ɡ u
добавить	d ʌ b ɑ vʲ i t̪ʲ
немногочисленные	n̪ʲ i m n ʌ ɡ ʌ t̠ʃʲ i s lʲ i n n ɨ j ɪ
интеллектуалы	ɪ n t̪ʲ i l l i k t u ɑ l ɨ
внов	v n o f
затосковали	z ʌ t ʌ s k ʌ v ɑ lʲ ɪ
утверждают	u t vʲ i r ʒˠ d ɑ j u t
россиян	r ʌ sʲ sʲ i j a n
очер-	o t̠ʃʲ i r
ной	n o j
раз	r ɑ s
надули	n a d u lʲ ɪ
дело	d̪ʲ e l ʌ
даже	d ɑ ʒˠ ɨ
этом	ɛ t ʌ m
она	ʌ n ɑ
изначально	ɪ z n a t̠ʃʲ ɑ lʲ n ʌ
повела	p ʌ vʲ i l ɑ
себя	sʲ i bʲ ɑ
хорошая	x ʌ r o ʃˠ ʌ j a
кандидата	k ʌ n d̪ʲ i d ɑ t a
президенты	p rʲ i zʲ i d̪ʲ e n t ɨ
всей	f sʲ e j
России	r ʌ sʲ sʲ i ɪ
какого	k a k o v ʌ
одного	ʌ d n ʌ v o
слоя	s l o j a
сегодня	sʲ i v o d n̪ʲ ʌ
Москве	m ʌ s k vʲ e
прошло	p r ʌ ʃˠ l o
очередное	ʌ t̠ʃʲ i rʲ i d n o j ɪ
собрание	s ʌ b r ɑ n̪ʲ i j ɪ
акционеров	a k t s ɨ ʌ n̪ʲ e r ʌ f
а-	a
ОАО	ʌ ɑ ʌ
КАМАЗ	k a m ɑ s
нашей	n ɑ ʃˠ ɨ j
ним	n̪ʲ i m
относятся	ʌ t n o sʲ ʌ t s ʌ
Совет	s ʌ vʲ e t
Федерации	fʲ i d̪ʲ i r ɑ t s ɨ ɪ
Дума	d u m a
президент	p rʲ i zʲ i d̪ʲ e n t
ее	j ɪ j e
основу	ʌ s n o v u
составляет	s ʌ s t a v lʲ ɑ j i t
компартия	k ʌ m p ɑ r t̪ʲ i j a
которая	k ʌ t o r ʌ j a
заменила	z ʌ mʲ i n̪ʲ i l a
атеизм	a t̪ʲ i i z m
псевдом	p sʲ e v d ʌ m
пр-	p ɛ ɛ r
православием	p r ʌ v ʌ s l ɑ vʲ i j i m
интернационализм	ɪ n t̪ʲ ɛ r n ʌ t s ɨ ʌ n̪ʲ a lʲ i z m
панславизмом	p ʌ n s l a vʲ i z m ʌ m
русской	r u s s k ʌ j
идеей	ɪ d̪ʲ e j i j
сугубо	s u ɡ u b ʌ
классовый	k l ɑ s s ʌ v ɨ j
подход	p ʌ d x o t
дополнила	d ʌ p o lʲ n̪ʲ i l a
н-	ɛ n
националистическим	n ʌ t s ɨ ʌ n ʌ lʲ i sʲ t̪ʲ i t̠ʃʲ i s kʲ i m
шовинистическим	ʃˠ ʌ vʲ i n̪ʲ i sʲ t̪ʲ i t̠ʃʲ i s kʲ i m
подходом	p ʌ d x o d ʌ m
тогда	t ʌ ɡ d ɑ
надолго	n a d o l ɡ ʌ
забыть	z a b ɨ t̪ʲ
европейских	j ɪ v r ʌ pʲ e j s kʲ i x
стандартах	s t a n d ɑ r t ʌ x
уровня	u r ʌ v n̪ʲ ʌ
жизни	ʒˠ ɨ zʲ n̪ʲ ɪ
демократических	d̪ʲ i m ʌ k r a t̪ʲ i t̠ʃʲ i s kʲ i x
ценностях	t s ɛ n n ʌ sʲ t̪ʲ ʌ x
т	t ɛ
п	p ɛ
достижения	d ʌ sʲ t̪ʲ i ʒˠ ɛ n̪ʲ i j a
современной	s ʌ v rʲ i mʲ e n n ʌ j
цивилизации	t s ɨ vʲ i lʲ i z ɑ t s ɨ ɪ
я	j a
говорят	ɡ ʌ v ʌ rʲ ɑ t
немцы	n̪ʲ e m t s ɨ
открыл	ʌ t k r ɨ l
рот	r o t
слишком	s lʲ i ʃˠ k ʌ m
широко	ʃˠ ɨ r ʌ k o
пришлось	p rʲ i ʃˠ l o sʲ
заплатить	z ʌ p l a t̪ʲ i t̪ʲ
ученические	u t̠ʃʲ i n̪ʲ i t̠ʃʲ i s kʲ i j ɪ
деньги	d̪ʲ e n̪ʲ ɡʲ ɪ
чем	t̠ʃʲ e m
объяснить	ʌ b j a sʲ n̪ʲ i t̪ʲ
действия	d̪ʲ e j s t vʲ i j a
немецкой	n̪ʲ i mʲ e t s k ʌ j
оппозиции	ʌ p p ʌ zʲ i t s ɨ ɪ
усиленно	u sʲ i lʲ i n n ʌ
пытающейся	p ɨ t ɑ j u ʂ i j sʲ ʌ
затормозить	z ʌ t ʌ r m ʌ z i t̪ʲ
процесс	p r ʌ t s ɛ s s
переселения	pʲ i rʲ i sʲ i lʲ e n̪ʲ i j a
Тюменская	t̪ʲ u mʲ e n s k ʌ j a
нефтяная	n̪ʲ i f t̪ʲ a n ɑ j a
компания	k ʌ m p ɑ n̪ʲ i j a
первая	pʲ e r v ʌ j a
шести	ʃˠ ɨ sʲ t̪ʲ i
крупных	k r u p n ɨ x
нефтяных	n̪ʲ i f t̪ʲ a n ɨ x
АО	ɑ ʌ
госпакеты	ɡ ʌ s p ɑ kʲ i t ɨ
акций	ɑ k t s ɨ j
которых	k ʌ t o r ɨ x
соответствии	s ʌ ʌ t vʲ e t s t vʲ i ɪ
указом	u k ɑ z ʌ m
президента	p rʲ i zʲ i d̪ʲ e n t a
должны	d ʌ l ʒˠ n ɨ
проданы	p r o d ʌ n ɨ
конкурсах	k o n k u r s ʌ x
помимо	p ʌ mʲ i m ʌ
алжирских	a l ʒˠ ɨ r s kʲ i x
полицейских	p ʌ lʲ i t s ɛ j s kʲ i x
э-	e
наших	n ɑ ʃˠ ɨ x
рабочих	r a b o t̠ʃʲ i x
охраняют	ʌ x r a n̪ʲ ɑ j u t
около	o k ʌ l ʌ
сотни	s o t̪ʲ n̪ʲ ɪ
патриотов	p ʌ t rʲ i o t ʌ f
окрестных	ʌ k rʲ e s t n ɨ x
сел	sʲ e l
объединившихся	ʌ b j i d̪ʲ i n̪ʲ i f ʃˠ ɨ x sʲ ʌ
отряды	ʌ t rʲ ɑ d ɨ
самообороны	s ʌ m ʌ ʌ b ʌ r o n ɨ
участвуем	u t̠ʃʲ ɑ s t v u j i m
политике	p ʌ lʲ i t̪ʲ i kʲ i
похоже	p ʌ x o ʒˠ ɨ
Свердловская	s vʲ i r d l o f s k ʌ j a
область	o b l ʌ s t̪ʲ
та	t ɑ
земля	zʲ i m lʲ ɑ
где	ɡ d̪ʲ e
рейтинги	rʲ e j t̪ʲ i n ɡʲ ɪ
действительно	d̪ʲ i j s t vʲ i t̪ʲ i lʲ n ʌ
иногда	ɪ n ʌ ɡ d ɑ
растут	r a s t u t
бамбук	b a m b u k
ну	n u
водка	v o d k a
Зверь	z vʲ e rʲ
это	ɛ t ʌ
просто	p r o s t ʌ
розовый	r o z ʌ v ɨ j
сироп	sʲ i r o p
сравнению	s r a v n̪ʲ e n̪ʲ i j u
некоторыми	n̪ʲ e k ʌ t ʌ r ɨ mʲ ɪ
немногословными	n̪ʲ i m n ʌ ɡ ʌ s l o v n ɨ mʲ ɪ
генералами	ɡʲ i n̪ʲ i r ɑ l ʌ mʲ ɪ
наряженными	n a rʲ ɑ ʒˠ ɨ n n ɨ mʲ ɪ
афоризмами	a f ʌ rʲ i z m ʌ mʲ ɪ
способными	s p ʌ s o b n ɨ mʲ ɪ
поразить	p ʌ r a zʲ i t̪ʲ
всю	f sʲ u
Россию	r ʌ sʲ sʲ i j u
один	ʌ d̪ʲ i n
депутато	d̪ʲ i p u t ʌ t ʌ
Магаданской	m ʌ ɡ a d ɑ n s k ʌ j
областной	ʌ b l a s t n o j
думы	d u m ɨ
сказал	s k a z ɑ l
никаких	n̪ʲ i k a kʲ i x
миллионов	mʲ i l l i o n ʌ f
зэков	z ɛ k ʌ f
Колыме	k ʌ l ɨ mʲ e
всегото	f sʲ i ɡ o t ʌ
семьсот	sʲ i mʲ s o t
лишним	lʲ i ʃˠ n̪ʲ i m
тысяч	t ɨ sʲ ʌ t̠ʃʲ
или	i lʲ ɪ
впервые	f pʲ i r v ɨ j ɪ
об	o p
слышим	s l ɨ ʃˠ ɨ m
вспомнить	f s p o m n̪ʲ i t̪ʲ
его	j ɪ v o
метания	mʲ i t ɑ n̪ʲ i j a
начале	n a t̠ʃʲ ɑ lʲ i
ипилитичскый	ɪ pʲ i lʲ i t̪ʲ i t̠ʃʲ s k ɨ j
карьере	k ʌ rʲ j e rʲ i
давно	d a v n o
ли	lʲ i
оно	o n ʌ
конечно	k ʌ n̪ʲ e ʃˠ n ʌ
директор	d̪ʲ i rʲ e k t ʌ r
был	b ɨ l
настоящим	n ʌ s t ʌ j a ʂ i m
владельцем	v l a d̪ʲ e l t s ɨ m
предприятия	p rʲ i d p rʲ i j a t̪ʲ i j a
стал	s t ɑ l
сам	s ɑ m
обворовывать	ʌ b v ʌ r o v ɨ v ʌ t̪ʲ
гарантия	ɡ a r ɑ n t̪ʲ i j a
тому	t o m u
высокая	v ɨ s o k ʌ j a
президентского	p rʲ i zʲ i d̪ʲ e n t s k ʌ v ʌ
проверка	p r ʌ vʲ e r k a
подключение	p ʌ d k lʲ u t̠ʃʲ e n̪ʲ i j ɪ
ней	n̪ʲ e j
органа	ʌ r ɡ ɑ n a
высшего	v ɨ ʃˠ ʃˠ ɨ v ʌ
надзора	n a d z o r a
за	z ɑ
законностью	z a k o n n ʌ s t̪ʲ j u
генеральной	ɡʲ i n̪ʲ i r ɑ lʲ n ʌ j
прокуратуры	p r ʌ k u r a t u r ɨ
им	i m
ни	n̪ʲ i
говорил	ɡ ʌ v ʌ rʲ i l
убеждал	u bʲ i ʒˠ d ɑ l
верили	vʲ e rʲ i lʲ ɪ
так	t ɑ k
стадия	s t ɑ d̪ʲ i j a
приватизации	p rʲ i v ʌ t̪ʲ i z ɑ t s ɨ ɪ
завершилась	z ʌ vʲ i r ʃˠ ɨ l ʌ sʲ
увеличением	u vʲ i lʲ i t̠ʃʲ e n̪ʲ i j i m
заботы	z a b o t ɨ
расцвете	r a s t s vʲ e t̪ʲ i
производства	p r ʌ i z v o d s t v a
выбором	v ɨ b ʌ r ʌ m
наиболее	n ʌ i b o lʲ i j ɪ
подходящего	p ʌ d x ʌ d̪ʲ ɑ ʂ i v ʌ
покупателя	p ʌ k u p ɑ t̪ʲ i lʲ ʌ
отчете	ʌ t t̠ʃʲ e t̪ʲ i
составленном	s ʌ s t ɑ v lʲ i n n ʌ m
комиссией	k ʌ mʲ i sʲ sʲ i j i j
специалистов	s pʲ i t s ɨ a lʲ i s t ʌ f
США	ʃˠ ʃˠ ɑ
вопросам	v ʌ p r o s ʌ m
электромагнитного	ɛ lʲ i k t r ʌ m a ɡ n̪ʲ i t n ʌ v ʌ
поля	p o lʲ ʌ
содержится	s ʌ d̪ʲ e r ʒˠ ɨ t s ʌ
рекомендация	rʲ i k ʌ mʲ i n d ɑ t s ɨ j a
ужесточить	u ʒˠ ɨ s t ʌ t̠ʃʲ i t̪ʲ
международные	mʲ i ʒˠ d u n a r o d n ɨ j ɪ
предельно	p rʲ i d̪ʲ e lʲ n ʌ
допустимые	d ʌ p u sʲ t̪ʲ i m ɨ j ɪ
нормы	n o r m ɨ
напряженности	n ʌ p rʲ a ʒˠ ɛ n n ʌ sʲ t̪ʲ ɪ
пять	pʲ ɑ t̪ʲ
сравнением	s r a v n̪ʲ e n̪ʲ i j i m
существующими	s u ʂ i s t v u j u ʂ i mʲ ɪ
высказал	v ɨ s k ʌ z ʌ l
мнение	m n̪ʲ e n̪ʲ i j ɪ
первоначально	pʲ i r v ʌ n a t̠ʃʲ ɑ lʲ n ʌ
тело	t̪ʲ e l ʌ
вождя	v ʌ ʒˠ d̪ʲ ɑ
будет	b u d̪ʲ i t
демонстрироваться	d̪ʲ i m ʌ n s t rʲ i r ʌ v ʌ t̪ʲ sʲ ʌ
бесплатно	bʲ i s p l ɑ t n ʌ
рекламнопредвыборных	rʲ i k l ʌ m n ʌ p rʲ i d v ɨ b ʌ r n ɨ x
целях	t s ɛ lʲ ʌ x
дальнейшем	d a lʲ n̪ʲ e j ʃˠ ɨ m
коммерческой	k ʌ m mʲ e r t̠ʃʲ i s k ʌ j
основе	ʌ s n o vʲ i
открытую	ʌ t k r ɨ t u j u
серьезной	sʲ i rʲ j j e z n ʌ j
музыки	m u z ɨ kʲ ɪ
доросли	d ʌ r ʌ s lʲ i
обозреватели	ʌ b ʌ z rʲ i v ɑ t̪ʲ i lʲ ɪ
Литгазеты	l i d ɡ ɑ zʲ i t ɨ
приходится	p rʲ i x o d̪ʲ i t s ʌ
только	t o lʲ k ʌ
сожалеть	s ʌ ʒˠ a lʲ e t̪ʲ
центра	t s ɛ n t r a
Ярославском	j a r ʌ s l ɑ f s k ʌ m
университете	u n̪ʲ i vʲ i r sʲ i t̪ʲ e t̪ʲ i
ведется	vʲ i d̪ʲ e t s ʌ
управление	u p r a v lʲ e n̪ʲ i j ɪ
пятью	pʲ ɑ t̪ʲ j u
серверами	sʲ i r vʲ i r ɑ mʲ ɪ
которым	k ʌ t o r ɨ m
будут	b u d u t
через	t̠ʃʲ e rʲ i s
модем	m ʌ d̪ʲ e m
подключаться	p ʌ d k lʲ u t̠ʃʲ ɑ t̪ʲ sʲ ʌ
все	f sʲ e
остальные	ʌ s t a lʲ n ɨ j ɪ
абоненты	a b ʌ n̪ʲ e n t ɨ
области	o b l ʌ sʲ t̪ʲ ɪ
соответствующий	s ʌ ʌ t vʲ e t s t v u j u ʂ i j
проект	p r ʌ j e k t
варварского	v ɑ r v ʌ r s k ʌ v ʌ
постановления	p ʌ s t ʌ n ʌ v lʲ e n i j a
слава	s l ɑ v a
Богу	b o ɡ u
пока	p ʌ k ɑ
реализованный	rʲ i ʌ lʲ i z o v ʌ n n ɨ j
подготовлен	p ʌ d ɡ ʌ t o v lʲ i n
городском	ɡ ʌ r ʌ d s k o m
управлении	u p r a v lʲ e n̪ʲ i ɪ
культуры	k u lʲ t u r ɨ
скажем	s k ɑ ʒˠ ɨ m
расторг-	r a s t o r k
раскрутить	r ʌ s k r u t̪ʲ i t̪ʲ
цепочку	t s ɨ p o t̠ʃʲ k u
бесконечных	bʲ i s k ʌ n̪ʲ e t̠ʃʲ n ɨ x
реорганизаций	rʲ i ʌ r ɡ a n̪ʲ i z ʌ t s ɨ j
захлестнувших	z ʌ x lʲ i s t n u f ʃˠ ɨ x
приватизационные	p rʲ i v ʌ t̪ʲ i z a t s ɨ ʌ n n ɨ j ɪ
следует	s lʲ e d u j i t
иста-	i s t a
результаты	rʲ i z u lʲ t ɑ t ɨ
экспертизы	ɛ k s pʲ i r t̪ʲ i z ɨ
пытаются	p ɨ t ɑ j u t s ʌ
предапределица-	p rʲ i d a p rʲ e d̪ʲ i lʲ i t s a
рассмотреть	r ʌ s s m ʌ t rʲ e t̪ʲ
толком	t o l k ʌ m
успели	u s pʲ e lʲ ɪ
впрочем	f p r o t̠ʃʲ i m
примерно	p rʲ i mʲ e r n ʌ
такую	t a k u j u
явку	j a f k u
пределах	p rʲ i d̪ʲ e l ʌ x
63х	ʃˠ ɛ z d̪ʲ d̪ʲ ɪ sʲ j a t t rʲ i x ɑ
процентов	p r ʌ t s ɛ n t ʌ f
прогнозировали	p r ʌ ɡ n ʌ zʲ i r ʌ v ʌ lʲ ɪ
местные	mʲ e s t n ɨ j ɪ
социологи	s ʌ t s ɨ o l ʌ ɡʲ ɪ
физическое	fʲ i zʲ i t̠ʃʲ i s k ʌ j ɪ
умственное	u m s t vʲ i n n ʌ j ɪ
Ясно	j a s n ʌ
небольшие	n̪ʲ i b ʌ lʲ ʃˠ ɨ j ɪ
важно	v ɑ ʒˠ n ʌ
получать	p ʌ l u t̠ʃʲ ɑ t̪ʲ
того	t ʌ v o
чтобы	ʃˠ t o b ɨ
ими	i mʲ ɪ
пользовались	p o lʲ z ʌ v ʌ lʲ i sʲ
они	ʌ n̪ʲ i
принадлежат	p rʲ i n ʌ d lʲ i ʒˠ ɑ t
еще	j ɪ ʂ e
дает	d a j e t
полной	p o l n ʌ j
картины	k a r t̪ʲ i n ɨ
дискриминации	d̪ʲ i s k rʲ i mʲ i n ɑ t s ɨ ɪ
государством	ɡ ʌ s u d ɑ r s t v ʌ m
значитной	z n a t̠ʃʲ i t n ʌ j
части	t̠ʃʲ ɑ sʲ t̪ʲ ɪ
своих	s v ʌ i x
сограждан	s ʌ ɡ r ɑ ʒˠ d ʌ n
На	n a
долю	d o lʲ u
лиц	lʲ i t s
занятых	z ɑ n̪ʲ ʌ t ɨ x
негосударственном	n̪ʲ i ɡ ʌ s u d ɑ r s t vʲ i n n ʌ m
секторе	sʲ e k t ʌ rʲ i
62	ʃˠ ɛ z d̪ʲ d̪ʲ ɪ sʲ j a t d v ɑ
%	p r a t s ɛ n t
общей	o p ʂ i j
численности	t̠ʃʲ i s lʲ i n n ʌ sʲ t̪ʲ ɪ
придет	p rʲ i d̪ʲ e t
голову	ɡ o l ʌ v u
назвать	n a z v ɑ t̪ʲ
временщиком	v rʲ i mʲ i n ʂ i k ʌ m
Клинтона	k lʲ i n t ʌ n a
Коля	k o lʲ ʌ
Гавела	ɡ a vʲ e l a
действуют	d̪ʲ e j s t v u j u t
основании	ʌ s n ʌ v ɑ n i ɪ
закона	z a k o n a
О	o
свободе	s v ʌ b o d̪ʲ i
вероисповеданий	vʲ i r ʌ i s p ʌ vʲ e d ʌ n̪ʲ i j
принятом	p rʲ i n̪ʲ ʌ t ʌ m
1990ом	o d n ɑ t ɨ sʲ ʌ t ʂ d e vʲ a t s o t d̪ʲ ɛ vʲ ɪ n o s t ɔ o m
году	ɡ o d u
сколько	s k o lʲ k ʌ
говорено	ɡ ʌ v o rʲ i n ʌ
Тверьуниверсалбанк	t vʲ i rʲ u n i vʲ e r s ʌ l b ʌ n k
впечатляет	f pʲ i t̠ʃʲ a t lʲ ɑ j i t
масштабами	m a ʃˠ ʃˠ t ɑ b ʌ mʲ ɪ
кредитования	k rʲ i d̪ʲ i t ʌ v ɑ n̪ʲ i j a
особенно	ʌ s o bʲ i n n ʌ
программ	p r ʌ ɡ r ɑ m m
радужные	r ɑ d u ʒˠ n ɨ j ɪ
голограммы	ɡ ʌ l ʌ ɡ r ɑ m m ɨ
иначе	ɪ n ɑ t̠ʃʲ i
Бентона	bʲ i n t o n a
появились	p ʌ j a vʲ i l i sʲ
рынке	r ɨ n kʲ i
защ-	z ɑ ʂ
ьас-	ɑ s
защиты	z a ʂ i t ɨ
лет	lʲ e t
десять	d̪ʲ e sʲ ʌ t̪ʲ
назад	n a z ɑ t
создав	s ʌ z d ɑ f
некоторое	n̪ʲ e k ʌ t ʌ r ʌ j ɪ
непреодолимую	n̪ʲ i p rʲ i ʌ d ʌ lʲ i m u j u
преграду	p rʲ i ɡ r ɑ d u
поддельщиков	p ʌ d̪ʲ d̪ʲ i lʲ ʂ i k ʌ f
вспомните	f s p o m n̪ʲ i t̪ʲ i
именно	i mʲ i n n ʌ
бессилие	bʲ i sʲ sʲ i lʲ i j ɪ
представительной	p rʲ i d s t a vʲ i t̪ʲ i lʲ n ʌ j
власти	v l ɑ sʲ t̪ʲ ɪ
позволило	p ʌ z v o lʲ i l ʌ
свое	s v ʌ j e
остановить	ʌ s t ʌ n ʌ vʲ i t̪ʲ
