Word	IPA transcription
przeprowadzenie	p ɕ ɛ p r ɔ v a d̪ ʑ ɛ ɲ ɛ
drugiego	d̪ r u ɡ ɛ ɡ ɔ
naboru	n̪ a b ɔ r u
studia	s̪ t̪ u d̪ j a
zaoczne	z̪ a ɔ t̪ ɕ n̪ ɛ
zakresie	z̪ a k r ɛ ɕ ɛ
wychowania	v ɨ x ɔ v a ɲ a
technicznego	t̪ ɛ x ɲ i t̪ ɕ n̪ ɛ ɡ ɔ
Jej	j ɛ j
udzielenie	u d̪ ʑ ɛ l̪ ɛ ɲ ɛ
wiąże	v ɔ ʐ̻ ɛ
kilkoma	k i l̪ k ɔ m a
warunkami	v a r u ŋ k a m i
część	t̪ ɕ ɛ ɲ ɕ t̪ ɕ
projektu	p r ɔ j ɛ k t̪ u
pochodzić	p ɔ x ɔ d̪ ʑ i t̪ ɕ
kredytu	k r ɛ d̪ ɨ t̪ u
bankowego	b a ŋ k ɔ v ɛ ɡ ɔ
Punkt	p u ŋ k t̪
ten	t̪ ɛ n̪
uzupełni	u z̪ u p ɛ w ɲ i
wytyczną	v ɨ t̪ ɨ t̪ ɕ n̪ ɔ
przyjętą	p ɕ ɨ j ɛ n̪ t̪ ɔ
już	j u ɕ
jesienią	j ɛ ɕ ɛ ɲ ɔ
dwu	d̪ v u
tysięcznego	t̪ ɨ ɕ ɛ n̪ t̪ ɕ n̪ ɛ ɡ ɔ
roku	r ɔ k u
oenzetowskim	ɔ ɛ n̪ z̪ ɛ t̪ ɔ f s̪ k i m
Szczycie	ɕ t̪ ɕ ɨ t̪ ɕ ɛ
Milenijnym	m i l̪ ɛ ɲ i j n̪ ɨ m
Nowym	n̪ ɔ v ɨ m
Jorku	j ɔ r k u
zalecającą	z̪ a l̪ ɛ t̪s̪ a j ɔ n̪ t̪s̪ ɔ
zwiększenie	z̪ v ɛ ŋ k ɕ ɛ ɲ ɛ
połowę	p ɔ w ɔ v ɛ
liczby	l̪ i d̪ ʑ b ɨ
ludzi	l̪ u d̪ ʑ i
którzy	k t̪ u ʐ̻ ɨ
mają	m a j ɔ
dostęp	d̪ ɔ s̪ t̪ ɛ m p
czystej	t̪ ɕ ɨ s̪ t̪ ɛ j
wody	v ɔ d̪ ɨ
pitnej	p i t̪ n̪ ɛ j
Osiemnaście	ɔ ɕ ɛ m n̪ a ɕ t̪ ɕ ɛ
miesięcy	m ɛ ɕ ɛ n̪ t̪s̪ ɨ
-	
przez	p ɕ ɛ s̪
pierwsze	p ɛ r ɕ ɛ
trzy	t̪ ɕ ɨ
miesiące	m ɛ ɕ ɔ n̪ t̪s̪ ɛ
stawka	s̪ t̪ a f k a
wynosi	v ɨ n̪ ɔ ɕ i
sześćdziesiąt	ɕ ɛ ʑ d̪ ʑ ɛ ɕ ɔ n̪ t̪
procent	p r ɔ t̪s̪ ɛ n̪ t̪
następnie	n̪ a s̪ t̪ ɛ m p ɲ ɛ
wzrasta	v z̪ r a s̪ t̪ a
co	t̪s̪ ɔ
dwa	d̪ v a
dziesięć	d̪ ʑ ɛ ɕ ɛ ɲ t̪ ɕ
a	a
czterech	t̪ ɕ t̪ ɛ r ɛ x
ostatnich	ɔ s̪ t̪ a t̪ ɲ i x
miesiącach	m ɛ ɕ ɔ n̪ t̪s̪ a x
pięć	p ɛ ɲ t̪ ɕ
Mówiąc	m u v ɔ n̪ t̪s̪
przekornie	p ɕ ɛ k ɔ r ɲ ɛ
ma	m a
czemu	t̪ ɕ ɛ m u
dziwić	d̪ ʑ i v i t̪ ɕ
przekupienie	p ɕ ɛ k u p ɛ ɲ ɛ
jednego	j ɛ d̪ n̪ ɛ ɡ ɔ
czy	t̪ ɕ ɨ
dwóch	d̪ v u x
mężów	m ɛ ʐ̻ u f
stanu	s̪ t̪ a n̪ u
kosztowało	k ɔ ɕ t̪ ɔ v a w ɔ
znacznie	z̪ n̪ a t̪ ɕ ɲ ɛ
mniej	m ɲ ɛ j
wyprawa	v ɨ p r a v a
armii	a r m j i
wojnę	v ɔ j n̪ ɛ
Na	n̪ a
pogrzebie	p ɔ ɡ ʐ̻ ɛ b j ɛ
senatora	s̪ ɛ n̪ a t̪ ɔ r a
we	v ɛ
wtorek	f t̪ ɔ r ɛ k
jedynym	j ɛ d̪ ɨ n̪ ɨ m
tematem	t̪ ɛ m a t̪ ɛ m
rozmów	r ɔ z̪ m u f
partyjnych	p a r t̪ ɨ j n̪ ɨ x
tuzów	t̪ u z̪ u f
było	b ɨ w ɔ
to	t̪ ɔ
kto	k t̪ ɔ
zastąpi	z̪ a s̪ t̪ ɔ m p i
Wellstone	v ɛ l̪ l̪ s̪ t̪ ɔ n̪ ɛ
'	
Nie	ɲ ɛ
znaczy	z̪ n̪ a t̪ ɕ ɨ
naturalnie	n̪ a t̪ u r a l̪ ɲ ɛ
bym	b ɨ m
doceniał	d̪ ɔ t̪s̪ ɛ ɲ a w
wartości	v a r t̪ ɔ ɕ t̪ ɕ i
które	k t̪ u r ɛ
przyniósł	p ɕ ɨ ɲ u s̪
przełom	p ɕ ɛ w ɔ m
lat	l̪ a t̪
osiemdziesiątych	ɔ ɕ ɛ m d̪ ʑ ɛ ɕ ɔ n̪ t̪ ɨ x
dziewięćdziesiątych	d̪ ʑ ɛ v ɛ ɲ d̪ ʑ ɛ ɕ ɔ n̪ t̪ ɨ x
mamy	m a m ɨ
wolną	v ɔ l̪ n̪ ɔ
demokratyczną	d̪ ɛ m ɔ k r a t̪ ɨ t̪ ɕ n̪ ɔ
Polskę	p ɔ l̪ s̪ k ɛ
utrzymującą	u t̪ ɕ ɨ m u j ɔ n̪ t̪s̪ ɔ
dobre	d̪ ɔ b r ɛ
solidne	s̪ ɔ l̪ i d̪ n̪ ɛ
stosunki	s̪ t̪ ɔ s̪ u ŋ k i
sąsiadami	s̪ ɔ ɕ a d̪ a m i
aktywną	a k t̪ ɨ v n̪ ɔ
regionie	r ɛ ɡ ɔ ɲ ɛ
włączającą	v w ɔ n̪ t̪ ɕ a j ɔ n̪ t̪s̪ ɔ
europejskie	ɛ w r ɔ p ɛ j s̪ k ɛ
struktury	s̪ t̪ r u k t̪ u r ɨ
integracyjne	i n̪ t̪ ɛ ɡ r a t̪s̪ ɨ j n̪ ɛ
euroatlantyckie	ɛ w r ɔ a t̪ l̪ a n̪ t̪ ɨ t̪s̪ k ɛ
;	
pokojowe	p ɔ k ɔ j ɔ v ɛ
demokratyczne	d̪ ɛ m ɔ k r a t̪ ɨ t̪ ɕ n̪ ɛ
jednolite	j ɛ d̪ n̪ ɔ l̪ i t̪ ɛ
Niemcy	ɲ ɛ m t̪s̪ ɨ
działające	d̪ ʑ a w a j ɔ n̪ t̪s̪ ɛ
ramach	r a m a x
solidarności	s̪ ɔ l̪ i d̪ a r n̪ ɔ ɕ t̪ ɕ i
europejskiej	ɛ w r ɔ p ɛ j s̪ k ɛ j
region	r ɛ ɡ ɔ n̪
Europy	ɛ w r ɔ p ɨ
Środkowej	ɕ r ɔ t̪ k ɔ v ɛ j
Wschodniej	f s̪ x ɔ d̪ ɲ ɛ j
po	p ɔ
raz	r a s̪
pierwszy	p ɛ r ɕ ɨ
od	ɔ t̪
setek	s̪ ɛ t̪ ɛ k
szansę	ɕ a n̪ s̪ ɛ
stać	s̪ t̪ a t̪ ɕ
spoiwem	s̪ p ɔ i v ɛ m
polem	p ɔ l̪ ɛ m
morderczej	m ɔ r d̪ ɛ r t̪ ɕ ɛ j
konfrontacji	k ɔ n̪ f r ɔ n̪ t̪ a t̪s̪ j i
niebyt	ɲ ɛ b ɨ t̪
odeszła	ɔ d̪ ɛ ɕ w a
dychotomia	d̪ ɨ x ɔ t̪ ɔ m j a
ideologiczna	i d̪ ɛ ɔ l̪ ɔ ɡ i t̪ ɕ n̪ a
która	k t̪ u r a
dziesiątki	d̪ ʑ ɛ ɕ ɔ n̪ t̪ k i
dzieliła	d̪ ʑ ɛ l̪ i w a
rodziny	r ɔ d̪ ʑ i n̪ ɨ
narody	n̪ a r ɔ d̪ ɨ
państwa	p a ɲ s̪ t̪ f a
kontynenty	k ɔ n̪ t̪ ɨ n̪ ɛ n̪ t̪ ɨ
Może	m ɔ ʐ̻ ɛ
on	ɔ n̪
przykład	p ɕ ɨ k w a t̪
dopuszczać	d̪ ɔ p u ɕ t̪ ɕ a t̪ ɕ
debat	d̪ ɛ b a t̪
nad	n̪ a t̪
kluczowymi	k l̪ u t̪ ɕ ɔ v ɨ m i
porozumieniami	p ɔ r ɔ z̪ u m j ɛ ɲ a m i
międzynarodowymi	m ɛ n̪ d̪ ʑ ɨ n̪ a r ɔ d̪ ɔ v ɨ m i
podpisaniu	p ɔ t̪ p i s̪ a ɲ u
prezydenta	p r ɛ z̪ ɨ d̪ ɛ n̪ t̪ a
musi	m u ɕ i
ratyfikować	r a t̪ ɨ f i k ɔ v a t̪ ɕ
Senat	s̪ ɛ n̪ a t̪
I	i
nawet	n̪ a v ɛ t̪
mogą	m ɔ ɡ ɔ
przed	p ɕ ɛ t̪
historią	ɕ i s̪ t̪ ɔ r j ɔ
tłumaczyć	t̪ w u m a t̪ ɕ ɨ t̪ ɕ
pustkami	p u s̪ t̪ k a m i
skarbie	s̪ k a r b j ɛ
Masz	m a ɕ
firmę	f i r m ɛ
?	
Czy	t̪ ɕ ɨ
Polsce	p ɔ l̪ s̪ t̪s̪ ɛ
takie	t̪ a k ɛ
rozwiązanie	r ɔ z̪ v ɔ z̪ a ɲ ɛ
byłoby	b ɨ w ɔ b ɨ
przyjęcia	p ɕ ɨ j ɛ ɲ t̪ ɕ a
wiadomo	v a d̪ ɔ m ɔ
powstanie	p ɔ f s̪ t̪ a ɲ ɛ
nowy	n̪ ɔ v ɨ
kierunek	k ɛ r u n̪ ɛ k
gospodarka	ɡ ɔ s̪ p ɔ d̪ a r k a
przestrzenna	p ɕ ɛ s̪ t̪ ɕ ɛ n̪ n̪ a
zapadających	z̪ a p a d̪ a j ɔ n̪ t̪s̪ ɨ x
ciemnościach	t̪ ɕ ɛ m n̪ ɔ ɕ t̪ ɕ a x
wydawało	v ɨ d̪ a v a w ɔ
im	i m
że	ʐ̻ ɛ
podpora	p ɔ t̪ p ɔ r a
kolejki	k ɔ l̪ ɛ j k i
krzyż	k ɕ ɨ ɕ
Giewoncie	ɡ ɛ v ɔ ɲ t̪ ɕ ɛ
mówi	m u v i
dalej	d̪ a l̪ ɛ j
Trzebunia	t̪ ɕ ɛ b u ɲ a
Jest	j ɛ s̪ t̪
nas	n̪ a s̪
wystarczająco	v ɨ s̪ t̪ a r t̪ ɕ a j ɔ n̪ t̪s̪ ɔ
dużo	d̪ u ʐ̻ ɔ
głupoty	ɡ w u p ɔ t̪ ɨ
by	b ɨ
bez	b ɛ s̪
trzeciej	t̪ ɕ ɛ t̪ ɕ ɛ j
siły	ɕ i w ɨ
zdarzały	z̪ d̪ a ʐ̻ a w ɨ
niepotrzebne	ɲ ɛ p ɔ t̪ ɕ ɛ b n̪ ɛ
incydenty	i n̪ t̪s̪ ɨ d̪ ɛ n̪ t̪ ɨ
Kwestia	k f ɛ s̪ t̪ j a
ta	t̪ a
bliska	b l̪ i s̪ k a
rozwiązania	r ɔ z̪ v ɔ z̪ a ɲ a
powiedział	p ɔ v ɛ d̪ ʑ a w
Według	v ɛ d̪ w u k
wicepremiera	v i t̪s̪ ɛ p r ɛ m j ɛ r a
ważniejsze	v a ʐ̻ ɲ ɛ j ɕ ɛ
doszło	d̪ ɔ ɕ w ɔ
wybudowania	v ɨ b u d̪ ɔ v a ɲ a
punktów	p u ŋ k t̪ u f
poboru	p ɔ b ɔ r u
opłat	ɔ p w a t̪
kolejnych	k ɔ l̪ ɛ j n̪ ɨ x
odcinkach	ɔ t̪ t̪ ɕ i ŋ k a x
objętych	ɔ b j ɛ n̪ t̪ ɨ x
koncesjami	k ɔ n̪ t̪s̪ ɛ s̪ j a m i
tej	t̪ ɛ j
sprawie	s̪ p r a v ɛ
będą	b ɛ n̪ d̪ ɔ
prowadzone	p r ɔ v a d̪ ʑ ɔ n̪ ɛ
koncesjonariuszami	k ɔ n̪ t̪s̪ ɛ s̪ j ɔ n̪ a r j u ɕ a m i
negocjacje	n̪ ɛ ɡ ɔ t̪s̪ j a t̪s̪ j ɛ
Wykonanie	v ɨ k ɔ n̪ a ɲ ɛ
wszystkich	f ɕ ɨ s̪ t̪ k i x
przewidzianych	p ɕ ɛ v i d̪ ʑ a n̪ ɨ x
procedur	p r ɔ t̪s̪ ɛ d̪ u r
wymagało	v ɨ m a ɡ a w ɔ
mnóstwa	m n̪ u s̪ t̪ f a
czasu	t̪ ɕ a s̪ u
więc	v ɛ n̪ t̪s̪
pobyt	p ɔ b ɨ t̪
pociągu	p ɔ t̪ ɕ ɔ ŋ ɡ u
granicy	ɡ r a ɲ i t̪s̪ ɨ
trwał	d̪ r v a w
czasem	t̪ ɕ a s̪ ɛ m
cztery	t̪ ɕ t̪ ɛ r ɨ
godziny	ɡ ɔ d̪ ʑ i n̪ ɨ
dłużej	d̪ w u ʐ̻ ɛ j
chwili	x f i l̪ i
zachodniej	z̪ a x ɔ d̪ ɲ ɛ j
Ukrainie	u k r a i ɲ ɛ
całym	t̪s̪ a w ɨ m
kraju	k r a j u
toczy	t̪ ɔ t̪ ɕ ɨ
debata	d̪ ɛ b a t̪ a
będziemy	b ɛ ɲ d̪ ʑ ɛ m ɨ
państwem	p a ɲ s̪ t̪ f ɛ m
ukraińsko-	u k r a i ɲ s̪ k ɔ
rosyjskojęzycznym	r ɔ s̪ ɨ j s̪ k ɔ j ɛ z̪ ɨ t̪ ɕ n̪ ɨ m
używać	u ʐ̻ ɨ v a t̪ ɕ
cyrylicy	t̪s̪ ɨ r ɨ l̪ i t̪s̪ ɨ
przejść	p ɕ ɛ j ɕ t̪ ɕ
alfabet	a l̪ f a b ɛ t̪
łaciński	w a t̪ ɕ i ɲ s̪ k i
czym	t̪ ɕ ɨ m
wschodnia	f s̪ x ɔ d̪ ɲ a
Ukraina	u k r a i n̪ a
bardzo	b a r d̪ ʑ ɔ
podobna	p ɔ d̪ ɔ b n̪ a
Rosji	r ɔ s̪ j i
ogóle	ɔ ɡ u l̪ ɛ
nam	n̪ a m
ona	ɔ n̪ a
potrzebna	p ɔ t̪ ɕ ɛ b n̪ a
terenie	t̪ ɛ r ɛ ɲ ɛ
gminy	ɡ m i n̪ ɨ
Zastosowanie	z̪ a s̪ t̪ ɔ s̪ ɔ v a ɲ ɛ
odnawialnych	ɔ d̪ n̪ a v a l̪ n̪ ɨ x
źródeł	ʑ r u d̪ ɛ w
energii	ɛ n̪ ɛ r ɡ j i
dłuższej	d̪ w u ɕ ɕ ɛ j
perspektywie	p ɛ r s̪ p ɛ k t̪ ɨ v ɛ
czasowej	t̪ ɕ a s̪ ɔ v ɛ j
zarówno	z̪ a r u v n̪ ɔ
sens	s̪ ɛ n̪ s̪
ekonomiczny	ɛ k ɔ n̪ ɔ m i t̪ ɕ n̪ ɨ
jak	j a k
powoduje	p ɔ v ɔ d̪ u j ɛ
duże	d̪ u ʐ̻ ɛ
korzyści	k ɔ ʐ̻ ɨ ɕ t̪ ɕ i
ekologiczne	ɛ k ɔ l̪ ɔ ɡ i t̪ ɕ n̪ ɛ
mówił	m u v i w
Jerzy	j ɛ ʐ̻ ɨ
Janota-Bzowski	j a n̪ ɔ t̪ a b z̪ ɔ f s̪ k i
warszawskiej	v a r ɕ a f s̪ k ɛ j
Fundacji	f u n̪ d̪ a t̪s̪ j i
EkoFundusz	ɛ k ɔ f u n̪ d̪ u ɕ
Co	t̪s̪ ɔ
można	m ɔ ʐ̻ n̪ a
zrobić	z̪ r ɔ b i t̪ ɕ
aby	a b ɨ
ich	i x
zniechęcić	z̪ ɲ ɛ x ɛ ɲ t̪ ɕ i t̪ ɕ
wejścia	v ɛ j ɕ t̪ ɕ a
Polacy	p ɔ l̪ a t̪s̪ ɨ
są	s̪ ɔ
przywiązani	p ɕ ɨ v ɔ z̪ a ɲ i
miejsca	m ɛ j s̪ t̪s̪ a
pracy	p r a t̪s̪ ɨ
miasta	m a s̪ t̪ a
Ostatnie	ɔ s̪ t̪ a t̪ ɲ ɛ
sondaże	s̪ ɔ n̪ d̪ a ʐ̻ ɛ
wskazują	f s̪ k a z̪ u j ɔ
popularność	p ɔ p u l̪ a r n̪ ɔ ɕ t̪ ɕ
najniższa	n̪ a j ɲ i ɕ ɕ a
kilku	k i l̪ k u
przekracza	p ɕ ɛ k r a t̪ ɕ a
siedmiu	ɕ ɛ d̪ m j u
porównaniu	p ɔ r u v n̪ a ɲ u
poprzednimi	p ɔ p ɕ ɛ d̪ ɲ i m i
wyborami	v ɨ b ɔ r a m i
stan	s̪ t̪ a n̪
posiadania	p ɔ ɕ a d̪ a ɲ a
SLD-UP	s̪ l̪ t̪ u p
radach	r a d̪ a x
miejskich	m ɛ j s̪ k i x
pogorszył	p ɔ ɡ ɔ r ɕ ɨ w
aż	a ɕ
połowie	p ɔ w ɔ v ɛ
miast	m a s̪ t̪
wojewódzkich	v ɔ j ɛ v u t̪s̪ k i x
Reforma	r ɛ f ɔ r m a
rządu	ʐ̻ ɔ n̪ d̪ u
zmiany	z̪ m a n̪ ɨ
personalne	p ɛ r s̪ ɔ n̪ a l̪ n̪ ɛ
resortach	r ɛ s̪ ɔ r t̪ a x
skomplikowane	s̪ k ɔ m p l̪ i k ɔ v a n̪ ɛ
procedury	p r ɔ t̪s̪ ɛ d̪ u r ɨ
wymiany	v ɨ m j a n̪ ɨ
dokumentów	d̪ ɔ k u m ɛ n̪ t̪ u f
Ponieważ	p ɔ ɲ ɛ v a ɕ
polega	p ɔ l̪ ɛ ɡ a
niemal	ɲ ɛ m a l̪
wyłącznie	v ɨ w ɔ n̪ t̪ ɕ ɲ ɛ
przenoszeniu	p ɕ ɛ n̪ ɔ ɕ ɛ ɲ u
zamożniejszej	z̪ a m ɔ ʐ̻ ɲ ɛ j ɕ ɛ j
ludności	l̪ u d̪ n̪ ɔ ɕ t̪ ɕ i
zamieszkałej	z̪ a m j ɛ ɕ k a w ɛ j
pory	p ɔ r ɨ
głównie	ɡ w u v ɲ ɛ
blokach	b l̪ ɔ k a x
własnych	v w a s̪ n̪ ɨ x
domów	d̪ ɔ m u f
wybudowanych	v ɨ b u d̪ ɔ v a n̪ ɨ x
obrzeżach	ɔ b ʐ̻ ɛ ʐ̻ a x
Dla	d̪ l̪ a
firm	f i r m
okazał	ɔ k a z̪ a w
jednak	j ɛ d̪ n̪ a k
pułapką	p u w a p k ɔ
Nazwałby	n̪ a z̪ v a w b ɨ
Pan	p a n̪
dzisiejszą	d̪ ʑ i ɕ ɛ j ɕ ɔ
demokratycznym	d̪ ɛ m ɔ k r a t̪ ɨ t̪ ɕ n̪ ɨ m
prawa	p r a v a
gorsze	ɡ ɔ r ɕ ɛ
negatywne	n̪ ɛ ɡ a t̪ ɨ v n̪ ɛ
zjawiska	z̪ j a v i s̪ k a
dotyczące	d̪ ɔ t̪ ɨ t̪ ɕ ɔ n̪ t̪s̪ ɛ
między	m ɛ n̪ d̪ ʑ ɨ
innymi	i n̪ n̪ ɨ m i
malejącej	m a l̪ ɛ j ɔ n̪ t̪s̪ ɛ j
urodzeń	u r ɔ d̪ ʑ ɛ ɲ
zwiększającej	z̪ v ɛ ŋ k ɕ a j ɔ n̪ t̪s̪ ɛ j
umieralności	u m j ɛ r a l̪ n̪ ɔ ɕ t̪ ɕ i
coraz	t̪s̪ ɔ r a s̪
większej	v ɛ ŋ k ɕ ɛ j
skłonności	s̪ k w ɔ n̪ n̪ ɔ ɕ t̪ ɕ i
rozpadu	r ɔ s̪ p a d̪ u
rodzin	r ɔ d̪ ʑ i n̪
spadku	s̪ p a t̪ k u
zawieranych	z̪ a v ɛ r a n̪ ɨ x
małżeństw	m a w ʐ̻ ɛ ɲ s̪ t̪ f
pogłębiają	p ɔ ɡ w ɛ m b j a j ɔ
rok	r ɔ k
należy	n̪ a l̪ ɛ ʐ̻ ɨ
cofać	t̪s̪ ɔ f a t̪ ɕ
rozszerzenie	r ɔ s̪ ɕ ɛ ʐ̻ ɛ ɲ ɛ
przesądzone	p ɕ ɛ s̪ ɔ n̪ d̪ ʑ ɔ n̪ ɛ
będzie	b ɛ ɲ d̪ ʑ ɛ
żadnych	ʐ̻ a d̪ n̪ ɨ x
cięć	t̪ ɕ ɛ ɲ t̪ ɕ
wydatków	v ɨ d̪ a t̪ k u f
ani	a ɲ i
podwyższenia	p ɔ d̪ v ɨ ɕ ɕ ɛ ɲ a
podatków	p ɔ d̪ a t̪ k u f
zapewnił	z̪ a p ɛ v ɲ i w
Trzeciego	t̪ ɕ ɛ t̪ ɕ ɛ ɡ ɔ
stycznia	s̪ t̪ ɨ t̪ ɕ ɲ a
tysiące	t̪ ɨ ɕ ɔ n̪ t̪s̪ ɛ
pierwszego	p ɛ r ɕ ɛ ɡ ɔ
zaprzysiężono	z̪ a p ɕ ɨ ɕ ɛ ʐ̻ ɔ n̪ ɔ
nowych	n̪ ɔ v ɨ x
senatorów	s̪ ɛ n̪ a t̪ ɔ r u f
sześciu	ɕ ɛ ɕ t̪ ɕ u
latach	l̪ a t̪ a x
kontrolowania	k ɔ n̪ t̪ r ɔ l̪ ɔ v a ɲ a
izby	i z̪ b ɨ
Republikanie	r ɛ p u b l̪ i k a ɲ ɛ
stracili	s̪ t̪ r a t̪ ɕ i l̪ i
niej	ɲ ɛ j
większość	v ɛ ŋ k ɕ ɔ ɕ t̪ ɕ
Mieszkający	m ɛ ɕ k a j ɔ n̪ t̪s̪ ɨ
tu	t̪ u
ludzie	l̪ u d̪ ʑ ɛ
troszczą	t̪ r ɔ ɕ t̪ ɕ ɔ
przede	p ɕ ɛ d̪ ɛ
wszystkim	f ɕ ɨ s̪ t̪ k i m
przeżyć	p ɕ ɛ ʐ̻ ɨ t̪ ɕ
związać	z̪ v ɔ z̪ a t̪ ɕ
koniec	k ɔ ɲ ɛ t̪s̪
końcem	k ɔ ɲ t̪s̪ ɛ m
być	b ɨ t̪ ɕ
magazynowany	m a ɡ a z̪ ɨ n̪ ɔ v a n̪ ɨ
bateriach	b a t̪ ɛ r j a x
lub	l̪ u p
przekazywany	p ɕ ɛ k a z̪ ɨ v a n̪ ɨ
sieci	ɕ ɛ t̪ ɕ i
elektrycznej	ɛ l̪ ɛ k t̪ r ɨ t̪ ɕ n̪ ɛ j
awangardową	a v a ŋ ɡ a r d̪ ɔ v ɔ
szopkę	ɕ ɔ p k ɛ
zdecydowali	z̪ d̪ ɛ t̪s̪ ɨ d̪ ɔ v a l̪ i
Dominikanie	d̪ ɔ m i ɲ i k a ɲ ɛ
trakcie	t̪ r a k t̪ ɕ ɛ
negocjacji	n̪ ɛ ɡ ɔ t̪s̪ j a t̪s̪ j i
Brukseli	b r u k s̪ ɛ l̪ i
Unia	u ɲ a
potwierdziła	p ɔ t̪ f ɛ r d̪ ʑ i w a
przystępują	p ɕ ɨ s̪ t̪ ɛ m p u j ɔ
Unii	u ɲ i
Europejskiej	ɛ w r ɔ p ɛ j s̪ k ɛ j
otrzymają	ɔ t̪ ɕ ɨ m a j ɔ
dodatkowe	d̪ ɔ d̪ a t̪ k ɔ v ɛ
środki	ɕ r ɔ t̪ k i
będące	b ɛ n̪ d̪ ɔ n̪ t̪s̪ ɛ
swego	s̪ f ɛ ɡ ɔ
rodzaju	r ɔ d̪ ʑ a j u
odszkodowaniem	ɔ t̪ ɕ k ɔ d̪ ɔ v a ɲ ɛ m
za	z̪ a
wysoką	v ɨ s̪ ɔ k ɔ
składkę	s̪ k w a t̪ k ɛ
członkowską	t̪ ɕ w ɔ ŋ k ɔ f s̪ k ɔ
kasy	k a s̪ ɨ
unijnej	u ɲ i j n̪ ɛ j
Caritas	t̪s̪ a r i t̪ a s̪
inne	i n̪ n̪ ɛ
organizacje	ɔ r ɡ a ɲ i z̪ a t̪s̪ j ɛ
charytatywne	x a r ɨ t̪ a t̪ ɨ v n̪ ɛ
otwarły	ɔ t̪ f a r w ɨ
specjalne	s̪ p ɛ t̪s̪ j a l̪ n̪ ɛ
konta	k ɔ n̪ t̪ a
wpłacać	f p w a t̪s̪ a t̪ ɕ
pieniądze	p ɛ ɲ ɔ n̪ d̪ ʑ ɛ
dla	d̪ l̪ a
powodzian	p ɔ v ɔ d̪ ʑ a n̪
Cóż	t̪s̪ u ɕ
powiedzieć	p ɔ v ɛ d̪ ʑ ɛ t̪ ɕ
komforcie	k ɔ m f ɔ r t̪ ɕ ɛ
jazdy	j a z̪ d̪ ɨ
skoro	s̪ k ɔ r ɔ
wagony	v a ɡ ɔ n̪ ɨ
stare	s̪ t̪ a r ɛ
domykającymi	d̪ ɔ m ɨ k a j ɔ n̪ t̪s̪ ɨ m i
ubikacjami	u b i k a t̪s̪ j a m i
zdezelowanymi	z̪ d̪ ɛ z̪ ɛ l̪ ɔ v a n̪ ɨ m i
szafkami	ɕ a f k a m i
umywalkami	u m ɨ v a l̪ k a m i
przedziałach	p ɕ ɛ d̪ ʑ a w a x
brudne	b r u d̪ n̪ ɛ
dotknięciu	d̪ ɔ t̪ k ɲ ɛ ɲ t̪ ɕ u
rękami	r ɛ ŋ k a m i
poręczy	p ɔ r ɛ n̪ t̪ ɕ ɨ
