Word	IPA transcription
mehanizma	m e h aː n i z m aː
suradnje	s u r aː d̪ ɲ e
Promatračke	p r o m aː t̪ r aː t̪ ʃ k e
misije	m i s i j e
Europske	e u r o p s k e
Zajednice	z a j e d̪ n i t̪ s e
Hrvatskoj	x r v a t̪ s k o j
bi	b i
tijekom	t̪ i j e k o m
narednih	n a r e d̪ n i h
mjeseci	m j e s e t̪ s i
trebalo	t̪ r e b aː l o
dogovoriti	d̪ o ɡ o v o r i t̪ i
nove	n o v e
oblike	o b l i k e
njenog	ɲ e n o ɡ
djelovanja	d̪ j e l o v aː ɲ aː
Zavod	z a v o d̪
prostorno	p r o s t̪ o r n o
planiranje	p l a n i r aː ɲ e
predstavio	p r e t̪ s t̪ aː v i o
programe	p r o ɡ r aː m e
obnovu	o b n o v u
Iloka	i l o k aː
općinskih	o p t̪ ɕ i n s k i h
središta	s r e d̪ i ʃ t̪ aː
Bogdanovca	b o ɡ d̪ aː n o f t̪ s aː
Lovaša	l o v aː ʃ aː
Tompojevaca	t̪ o m p o j e v aː t̪ s aː
Tovarnika	t̪ o v a r n i k aː
kazao	k a z aː o
njegov	ɲ e ɡ o v
ravnatelj	r a v n aː t̪ e ʎ
Salaj	s a l a j
n-	n i
nakana	n a k aː n aː
im	i m
ujednači	u j e d̪ n aː t̪ ʃ i
kvaliteta	k v a l i t̪ e t̪ aː
života	ʒ i v o t̪ aː
općinskim	o p t̪ ɕ i n s k i m
gradskim	ɡ r a t̪ s k i m
središtima	s r e d̪ i ʃ t̪ i m aː
tog	t̪ o ɡ
bih	b i h
izbjegla	i z b j e ɡ l aː
dosadašnja	d̪ o s aː d̪ aː ʃ ɲ aː
gravitacija	ɡ r a v i t̪ aː t̪ s i j aː
stanovništva	s t̪ a n o v n i ʃ t̪ v aː
prema	p r e m aː
samo	s a m o
jednom	j e d̪ n o m
od	o d̪
njih	ɲ i h
Ministar	m i n i s t̪ a r
Kantor	k a n t̪ o r
interviewu	i n t̪ e r v i e v u
objavljenom	o b j aː v l j e n o m
sinoćnjem	s i n o t̪ ɕ ɲ e m
središnjem	s r e d̪ i ʃ ɲ e m
Dnevniku	d̪ n e v n i k u
HTV-a	x i t̪ i v i a
izjavio	i z j aː v i o
SAD	s a d̪
želi	ʒ e l i
postane	p o s t̪ aː n e
jedna	j e d̪ n aː
zemalja	z e m aː ʎ aː
svjetske	s v j e t̪ s k e
trgovine	t̪ r ɡ o v i n e
Vlada	v l a d̪ aː
Seoulu	s e o u l u
ponudila	p o n u d̪ i l aː
Pyongyangu	p j o ŋ ɡ j aː ŋ ɡ u
7000	s e d̪ aː m t̪ i s u t̪ ɕ aː
tona	t̪ o n aː
mlijeka	m l i j e k aː
prahu	p r a h u
ali	a l i
joj	j o j
kaže	k a ʒ e
odgovoreno	o d̪ ɡ o v o r e n o
bilo	b i l o
bolje	b o ʎ e
pošalju	p o ʃ aː ʎ u
rižu	r i ʒ u
Bennetenova	b e n n e t̪ e n o v aː
odjeća	o d̪ j e t̪ ɕ aː
prodaje	p r o d̪ a j e
svim	s v i m
europskim	e u r o p s k i m
svjetskim	s v j e t̪ s k i m
metropolama	m e t̪ r o p o l aː m aː
110	s t̪ o d̪ e s e t̪
svijeta	s v i j e t̪ aː
više	v i ʃ e
sedam-	s e d̪ aː m
duća-	d̪ u t̪ ɕ aː
dućana	d̪ u t̪ ɕ aː n aː
Također	t̪ a k o d̪ ʑ e r
prvom	p r v o m
čitanju	t̪ ʃ i t̪ aː ɲ u
podržan	p o d̪ r ʒ aː n
Prijedlog	p r i j e d̪ l o ɡ
zakona	z a k o n aː
carinskoj	t̪ s a r i n s k o j
tarifi	t̪ a r i f i
kojim	k o j i m
predlaže	p r e d̪ l aː ʒ e
cjelovit	t̪ s j e l o v i t̪
način	n a t̪ ʃ i n
urediti	u r e d̪ i t̪ i
carinska	t̪ s a r i n s k aː
tarifa	t̪ a r i f aː
odnosno	o d̪ n o s n o
objediniti	o b j e d̪ i n i t̪ i
carin-	t̪ s a r i n
carine	t̪ s a r i n e
dosadašnjih	d̪ o s aː d̪ aː ʃ ɲ i h
nekoliko	n e k o l i k o
vancarinskih	v a n t̪ s a r i n s k i h
instrumenata	i n s t̪ r u m e n aː t̪ aː
isto	i s t̪ o
ispuniti	i s p u n i t̪ i
obveze	o b v e z e
koje	k o j e
proizlaze	p r o i z l aː z e
iz	i z
Konvencije	k o n v e n t̪ s i j e
harmoniziranom	x a r m o n i z i r aː n o m
sustavu	s u s t̪ aː v u
na-	n a
nazivlja	n a z i v l j aː
brojčanog	b r o j t̪ ʃ aː n o ɡ
označavanja	o z n aː t̪ ʃ aː v aː ɲ aː
roba	r o b aː
Južnokorejska	j u ʒ n o k o r e j s k aː
propaganda	p r o p aː ɡ aː n d̪ aː
ne	n e
vjeruju	v j e r u j u
glad	ɡ l a d̪
afričkih	a f r i t̪ ʃ k i h
razmjera	r a z m j e r aː
sjeveru	s j e v e r u
uporno	u p o r n o
dokazuju	d̪ o k aː z u j u
pomoć	p o m o t̪ ɕ
hrani	x r a n i
lahko	l a h k o
mogla	m o ɡ l aː
otići	o t̪ i t̪ ɕ i
vojnicima	v o j n i t̪ s i m aː
Riječki	r i j e t̪ ʃ k i
pravoslavni	p r a v o s l aː v n i
vjernici	v j e r n i t̪ s i
proslavljaju	p r o s l aː v l j a j u
danas	d̪ a n aː s
Božić	b o ʒ i t̪ ɕ
blagosluž-	b l a ɡ o s l u ʒ
bogosluženjima	b o ɡ o s l u ʒ e ɲ i m aː
hramu	x r a m u
Sv	s i v i
Đorđa	d̪ ʑ o r d̪ ʑ aː
Sušaku	s u ʃ aː k u
Nikole	n i k o l e
Posebni	p o s e b n i
pregovarač	p r e ɡ o v a r aː t̪ ʃ
priprema	p r i p r e m aː
okvir	o k v i r
zajedničke	z a j e d̪ n i t̪ ʃ k e
država	d̪ r ʒ a v aː
sljednica	s ʎ e d̪ n i t̪ s aː
izradu	i z r aː d̪ u
ugovora	u ɡ o v o r aː
Na	n a
kraju	k r a j u
su	s u
novinari	n o v i n a r i
iskoristili	i s k o r i s t̪ i l i
prigodu	p r i ɡ o d̪ u
zamolili	z a m o l i l i
ministra	m i n i s t̪ r aː
Granića	ɡ r a n i t̪ ɕ aː
prokomentira	p r o k o m e n t̪ i r aː
izviješće	i z v i j e ʃ t̪ ɕ e
glavnog	ɡ l a v n o ɡ
tajnika	t̪ a j n i k aː
UN-a	u n a
Butrosa	b u t̪ r o s aː
Galija	ɡ a l i j aː
predsjedničku	p r e t̪ s j e d̪ n i t̪ ʃ k u
izjavu	i z j aː v u
Pusić	p u s i t̪ ɕ
istaknuo	i s t̪ aː k n u o
srpske	s r p s k e
vojne	v o j n e
civilne	t̪ s i v i l n e
vlasti	v l a s t̪ i
Banjoj	b a ɲ o j
Luci	l u t̪ s i
nisu	n i s u
toliko	t̪ o l i k o
ovisne	o v i s n e
vlastima	v l a s t̪ i m aː
Palama	p a l aː m aː
Priprema	p r i p r e m aː
izgradnju	i z ɡ r aː d̪ ɲ u
crkve	t̪ s r k v e
njezinim	ɲ e z i n i m
temeljima	t̪ e m e ʎ i m aː
otvorenom	o t̪ v o r e n o m
prostoru	p r o s t̪ o r u
služena	s l u ʒ e n aː
misa	m i s aː
poslijepodneva	p o s l i j e p o d̪ n e v aː
večeri	v e t̪ ʃ e r i
Hrastovici	x r a s t̪ o v i t̪ s i
mnogim	m n o ɡ i m
dvorištima	d̪ v o r i ʃ t̪ i m aː
uz	u z
izvor	i z v o r
Bartolova-	b a r t̪ o l o v aː
Bartolovac	b a r t̪ o l o v aː t̪ s
trajalo	t̪ r a j aː l o
pučko	p u t̪ ʃ k o
veselje	v e s e ʎ e
godišnje	ɡ o d̪ i ʃ ɲ e
proš-	p r o ʃ
proštenje	p r o ʃ t̪ e ɲ e
Tada	t̪ a d̪ aː
stilu	s t̪ i l u
svog	s v o ɡ
predsjednika	p r e t̪ s j e d̪ n i k aː
rekao	r e k aː o
Veliku	v e l i k u
medijsku	m e d̪ i j s k u
buku	b u k u
čak	t̪ ʃ a k
paniku	p a n i k u
Sjedinjenim	s j e d̪ i ɲ e n i m
Američkim	a m e r i t̪ ʃ k i m
Državama	d̪ r ʒ a v aː m aː
Francuskoj	f r a n t̪ s u s k o j
Velikoj	v e l i k o j
Britaniji	b r i t̪ aː n i j i
izazvala	i z aː z v aː l aː
spoznaja	s p o z n a j aː
Libija	l i b i j aː
svojedobno	s v o j e d̪ o b n o
kupila	k u p i l aː
60	ʃ e z d̪ e s e t̪
milijuna	m i l i j u n aː
američkih	a m e r i t̪ ʃ k i h
dolara	d̪ o l a r aː
200	d̪ v j e s t̪ o
kilograma	k i l o ɡ r aː m aː
crvene	t̪ s r v e n e
žive	ʒ i v e
Time	t̪ i m e
uspostavljena	u s p o s t̪ aː v l j e n aː
prva	p r v a
međunarodna	m e d̪ ʑ u n a r o d̪ n aː
putnička	p u t̪ n i t̪ ʃ k aː
brodska	b r o t̪ s k aː
veza	v e z aː
između	i z m e d̪ ʑ u
Ploča	p l o t̪ ʃ aː
slovenskih	s l o v e n s k i h
talijanskih	t̪ a l i j aː n s k i h
luka	l u k aː
Oko	o k o
1600	t̪ i s u t̪ ɕ u ʃ e s t̪ o
ruskih	r u s k i h
vojnika	v o j n i k aː
treba	t̪ r e b aː
biti	b i t̪ i
raspoređeno	r a s p o r e d̪ ʑ e n o
sjeveroistočnom	s j e v e r o i s t̪ o t̪ ʃ n o m
dijelu	d̪ i j e l u
Bosne	b o s n e
Hercegovine	x e r t̪ s e ɡ o v i n e
zajedno	z a j e d̪ n o
s	s i
američkim	a m e r i t̪ ʃ k i m
postrojbama	p o s t̪ r o j b aː m aː
U	u
opširnoj	o p ʃ i r n o j
Izjavi	i z j aː v i
među	m e d̪ ʑ u
ostalim	o s t̪ aː l i m
najvišem	n a j v i ʃ e m
interesu	i n t̪ e r e s u
hrvatske	x r v a t̪ s k e
nacije	n a t̪ s i j e
dokine	d̪ o k i n e
ocjenjuje	o t̪ s j e ɲ u j e
samovolja	s a m o v o ʎ aː
dosadašnje	d̪ o s aː d̪ aː ʃ ɲ e
pa	p a
će	t̪ ɕ e
potpisnici	p o t̪ p i s n i t̪ s i
preko	p r e k o
svojih	s v o j i h
zastupnika	z a s t̪ u p n i k aː
jesenjem	j e s e ɲ e m
referenudmu	r e f e r e n u d̪ m u
izmjeni	i z m j e n i
zakonskih	z a k o n s k i h
odredaba	o d̪ r e d̪ aː b aː
referendumu	r e f e r e n d̪ u m u
radi	r a d̪ i
utrg-	u t̪ r ɡ
uvođenja	u v o d̪ ʑ e ɲ aː
obvaz-	o b v aː z
obveznog	o b v e z n o ɡ
državnog	d̪ r ʒ a v n o ɡ
referenduma	r e f e r e n d̪ u m aː
značajnim	z n a t̪ ʃ a j n i m
pitanjima	p i t̪ aː ɲ i m aː
temelju	t̪ e m e ʎ u
potpisima	p o t̪ p i s i m aː
izraženog	i z r aː ʒ e n o ɡ
zahtjeva	z a h t̪ j e v aː
najmanje	n a j m aː ɲ e
50000	p e d̪ e s e t̪ t̪ i s u t̪ ɕ aː
birača	b i r aː t̪ ʃ aː
ustavnih	u s t̪ aː v n i h
ustavnom	u s t̪ aː v n o m
položaju	p o l o ʒ a j u
Sabora	s a b o r aː
er-	e r
Republike	r e p u b l i k e
Hrvatske	x r v a t̪ s k e
osigura	o s i ɡ u r aː
dominantna	d̪ o m i n aː n t̪ n aː
uloga	u l o ɡ aː
i-	i
uveođ-	u v e o d̪ ʑ
uvođenje	u v o d̪ ʑ e ɲ e
parlamentarnog	p a r l aː m e n t̪ a r n o ɡ
sustava	s u s t̪ aː v aː
Upravni	u p r aː v n i
odbor	o d̪ b o r
prognanika	p r o ɡ n aː n i k aː
priopćio	p r i o p t̪ ɕ i o
zaključke	z a k ʎ u t̪ ʃ k e
sjednice	s j e d̪ n i t̪ s e
održane	o d̪ r ʒ aː n e
19.-og	d̪ e v e t̪ n a i s t̪ o ɡ
siječnja	s i j e t̪ ʃ ɲ aː
Kada	k a d̪ aː
naše	n a ʃ e
snage	s n a ɡ e
ovamo	o v aː m o
stigle	s t̪ i ɡ l e
mnogi	m n o ɡ i
proli-	p r o l i
proricali	p r o r i t̪ s aː l i
ćemo	t̪ ɕ e m o
morati	m o r aː t̪ i
ratovati	r a t̪ o v aː t̪ i
ć-	t̪ ɕ i
suočiti	s u o t̪ ʃ i t̪ i
oružanim	o r u ʒ aː n i m
otporom	o t̪ p o r o m
napomenuo	n a p o m e n u o
obrane	o b r aː n e
Srbi	s r b i
moraju	m o r a j u
ostati	o s t̪ aː t̪ i
gradu	ɡ r a d̪ u
taj	t̪ a j
prisiliti	p r i s i l i t̪ i
međunarodnu	m e d̪ ʑ u n a r o d̪ n u
zajednicu	z a j e d̪ n i t̪ s u
pronađe	p r o n aː d̪ ʑ e
održivo	o d̪ r ʒ i v o
rješenje	r j e ʃ e ɲ e
problem	p r o b l e m
Sarajeva	s a r a j e v aː
ocijenili	o t̪ s i j e n i l i
srpski	s r p s k i
čelnici	t̪ ʃ e l n i t̪ s i
sastanku	s a s t̪ aː ŋ k u
posvećenom	p o s v e t̪ ɕ e n o m
mirovnog	m i r o v n o ɡ
plana	p l a n aː
BiH	b i x i
Njemački	ɲ e m aː t̪ ʃ k i
došao	d̪ o ʃ aː o
posjetu	p o s j e t̪ u
prije	p r i j e
svega	s v e ɡ aː
imao	i m aː o
potrebu	p o t̪ r e b u
direktno	d̪ i r e k t̪ n o
upozna	u p o z n aː
djelovanjem	d̪ j e l o v aː ɲ e m
logističkih	l o ɡ i s t̪ i t̪ ʃ k i h
snaga	s n a ɡ aː
Hrvatske-	x r v a t̪ s k e
čime	t̪ ʃ i m e
vrlo	v r l o
zadovoljan	z a d̪ o v o ʎ aː n
Noć	n o t̪ ɕ
subote	s u b o t̪ e
nedjelju	n e d̪ j e ʎ u
Mostaru	m o s t̪ a r u
razmjerno	r a z m j e r n o
mirno	m i r n o
povremene	p o v r e m e n e
izgrede	i z ɡ r e d̪ e
pucnjavu	p u t̪ s ɲ aː v u
istočnog	i s t̪ o t̪ ʃ n o ɡ
Mostara	m o s t̪ a r aː
što	ʃ t̪ o
hrvatska	x r v a t̪ s k aː
policija	p o l i t̪ s i j aː
zapadnog	z a p aː d̪ n o ɡ
nije	n i j e
uzvraćala	u z v r aː t̪ ɕ aː l aː
priopćili	p r i o p t̪ ɕ i l i
jutros	j u t̪ r o s
Policijskoj	p o l i t̪ s i j s k o j
postaji	p o s t̪ a j i
Velikom	v e l i k o m
većinom	v e t̪ ɕ i n o m
glasova	ɡ l a s o v aː
zastupnci	z a s t̪ u p n t̪ s i
dali	d̪ a l i
potporu	p o t̪ p o r u
Prijedlogu	p r i j e d̪ l o ɡ u
ustavnog	u s t̪ aː v n o ɡ
suradnji	s u r aː d̪ ɲ i
Međunarodnim	m e d̪ ʑ u n a r o d̪ n i m
kaznenim	k a z n e n i m
sudom	s u d̪ o m
koji	k o j i
bio	b i o
kome	k o m e
rasprava	r a s p r aː v aː
provedena	p r o v e d̪ e n aː
4.-e	t̪ ʃ e t̪ i r i e
potpredsjednik	p o t̪ p r e t̪ s j e d̪ n i k
Voditelj	v o d̪ i t̪ e ʎ
izaslanstava	i z aː s l aː n s t̪ aː v aː
kongresmen	k o ŋ ɡ r e s m e n
Sonny	s o n n i
Callahan	t̪ s a l l aː h aː n
izrazio	i z r aː z i o
zadovoljstvo	z a d̪ o v o ʎ s t̪ v o
postignućima	p o s t̪ i ɡ n u t̪ ɕ i m aː
hrvatskoga	x r v a t̪ s k o ɡ aː
gospodarstva	ɡ o s p o d̪ a r s t̪ v aː
stanjem	s t̪ a ɲ e m
demokracije	d̪ e m o k r aː t̪ s i j e
kao	k a o
spremnošću	s p r e m n o ʃ t̪ ɕ u
suradnju	s u r aː d̪ ɲ u
Haaškim	x a aː ʃ k i m
Izaslanstvo	i z aː s l aː n s t̪ v o
Ministarstva	m i n i s t̪ a r s t̪ v aː
vodio	v o d̪ i o
Davor	d̪ a v o r
Štern	ʃ t̪ e r n
jučer	j u t̪ ʃ e r
boravilo	b o r aː v i l o
hrvatskim	x r v a t̪ s k i m
područjima	p o d̪ r u t̪ ʃ j i m aː
pod	p o d̪
privremenom	p r i v r e m e n o m
upravom	u p r aː v o m
UNTAES-a	u n t̪ aː e s a
Specifičan	s p e t̪ s i f i t̪ ʃ aː n
kut	k u t̪
gledanja	ɡ l e d̪ aː ɲ aː
prava	p r a v aː
djeteta	d̪ j e t̪ e t̪ aː
svakako	s v a k aː k o
pripada	p r i p aː d̪ aː
ljudima	ʎ u d̪ i m aː
sami	s a m i
bili	b i l i
ahm	a h m
sudionici	s u d̪ i o n i t̪ s i
takvih	t̪ a k v i h
događanja	d̪ o ɡ aː d̪ ʑ aː ɲ aː
žrtve	ʒ r t̪ v e
zlostavljanja	z l o s t̪ aː v l j aː ɲ aː
Izjave	i z j aː v e
oporbenih	o p o r b e n i h
prvaka	p r v a k aː
znače	z n a t̪ ʃ e
Skupština	s k u p ʃ t̪ i n aː
odbiti	o d̪ b i t̪ i
ili	i l i
potvrditi	p o t̪ v r d̪ i t̪ i
gospođu	ɡ o s p o d̪ ʑ u
Matulović-Dropulić	m a t̪ u l o v i d̪ ʑ d̪ r o p u l i t̪ ɕ
pričekati	p r i t̪ ʃ e k aː t̪ i
njezino	ɲ e z i n o
imenovanje	i m e n o v aː ɲ e
prođe	p r o d̪ ʑ e
skupštinsku	s k u p ʃ t̪ i n s k u
proceduru	p r o t̪ s e d̪ u r u
Sanader	s a n aː d̪ e r
dodavši	d̪ o d̪ aː f ʃ i
predsjednik	p r e t̪ s j e d̪ n i k
po	p o
Ustavu	u s t̪ aː v u
dužan	d̪ u ʒ aː n
osigurati	o s i ɡ u r aː t̪ i
djelovanje	d̪ j e l o v aː ɲ e
izvršne	i z v r ʃ n e
Kako	k a k o
najavljeno	n a j aː v l j e n o
Mickey	m i t̪ s k e j
imat	i m aː t̪
niz	n i z
sastanaka	s a s t̪ aː n aː k aː
dužnostima	d̪ u ʒ n o s t̪ i m aː
b-	b i
predsjednikom	p r e t̪ s j e d̪ n i k o m
Predsjedništva	p r e t̪ s j e d̪ n i ʃ t̪ v aː
Alijom	a l i j o m
Izetbegovićem	i z e d̪ b e ɡ o v i t̪ ɕ e m
Federacije	f e d̪ e r aː t̪ s i j e
BH	b i x i
Krešimirom	k r e ʃ i m i r o m
Zubakom	z u b aː k o m
premijerom	p r e m i j e r o m
Vlade	v l a d̪ e
Hasanom	x a s aː n o m
Muratovićem	m u r aː t̪ o v i t̪ ɕ e m
Izudinom	i z u d̪ i n o m
Kapetanovićem	k a p e t̪ aː n o v i t̪ ɕ e m
Kanadski	k a n aː t̪ s k i
razgovore	r a z ɡ o v o r e
ministrom	m i n i s t̪ r o m
odbrane	o d̪ b r aː n e
Gojkom	ɡ o j k o m
Šuškom	ʃ u ʃ k o m
dr.	d̪ i r i
Franjom	f r a ɲ o m
Tuđmanom	t̪ u d̪ ʑ m aː n o m
Da	d̪ a
humanitarne	x u m aː n i t̪ a r n e
organizacije	o r ɡ aː n i z aː t̪ s i j e
svjetska	s v j e t̪ s k aː
zajednica	z a j e d̪ n i t̪ s aː
mogle	m o ɡ l e
pružiti	p r u ʒ i t̪ i
potrebno	p o t̪ r e b n o
dopuštanje	d̪ o p u ʃ t̪ aː ɲ e
čijem	t̪ ʃ i j e m
teoriji	t̪ e o r i j i
javila	j a v i l aː
potreba	p o t̪ r e b aː
invisticijom	i n v i s t̪ i t̪ s i j o m
priznanje	p r i z n aː ɲ e
postoji	p o s t̪ o j i
nerješiv	n e r j e ʃ i v
bez	b e z
vanjske	v a ɲ s k e
pomoći	p o m o t̪ ɕ i
Većinom	v e t̪ ɕ i n o m
odbijen	o d̪ b i j e n
zakonski	z a k o n s k i
prijedlog	p r i j e d̪ l o ɡ
izmjenama	i z m j e n aː m aː
dopunama	d̪ o p u n aː m aː
Zakona	z a k o n aː
blagdanima	b l a ɡ d̪ aː n i m aː
neradnim	n e r aː d̪ n i m
danima	d̪ a n i m aː
Ivana	i v aː n aː
Gabelice	ɡ a b e l i t̪ s e
Ne	n e
mislim	m i s l i m
otkriće	o t̪ k r i t̪ ɕ e
utjecati	u t̪ j e t̪ s aː t̪ i
religiju	r e l i ɡ i j u
jer	j e r
smatram	s m a t̪ r aː m
ona	o n aː
trebala	t̪ r e b aː l aː
baviti	b a v i t̪ i
znanstvenim	z n a n s t̪ v e n i m
problematikom	p r o b l e m aː t̪ i k o m
nego	n e ɡ o
moralnim	m o r aː l n i m
načelima	n a t̪ ʃ e l i m aː
Nova	n o v aː
faza	f a z aː
provedbe	p r o v e d̪ b e
mirovnih	m i r o v n i h
jest	j e s t̪
činjenica	t̪ ʃ i ɲ e n i t̪ s aː
konačno	k o n aː t̪ ʃ n o
povukli	p o v u k l i
nekih	n e k i h
sarajevskih	s a r a j e f s k i h
predgrađa	p r e d̪ ɡ r aː d̪ ʑ aː
glasovati	ɡ l a s o v aː t̪ i
prošloj	p r o ʃ l o j
sjednici	s j e d̪ n i t̪ s i
Najbolja	n a j b o ʎ aː
junor-	j u n o r
juniorska	j u n i o r s k aː
tenisačica	t̪ e n i s aː t̪ ʃ i t̪ s aː
Mirjana	m i r j aː n aː
Lučić	l u t̪ ʃ i t̪ ɕ
završila	z a v r ʃ i l aː
nastup	n a s t̪ u p
Grand	ɡ r a n d̪
Slam	s l a m
turniru	t̪ u r n i r u
11	j e d̪ aː n a i s t̪
zarez	z a r e z
8	o s aː m
vrijednom	v r i j e d̪ n o m
US	u s
Openu	o p e n u
New	n e v
Yorku	j o r k u
trećem	t̪ r e t̪ ɕ e m
kolu	k o l u
To	t̪ o
vidi	v i d̪ i
njihovoj	ɲ i h o v o j
ehm	e h m
reklamnoj	r e k l aː m n o j
strategiji	s t̪ r a t̪ e ɡ i j i
koja	k o j aː
originalnošću	o r i ɡ i n aː l n o ʃ t̪ ɕ u
razlikuje	r a z l i k u j e
ostalih	o s t̪ aː l i h
prodajnih	p r o d̪ a j n i h
lanaca	l a n aː t̪ s aː
svijetu	s v i j e t̪ u
dnevnom	d̪ n e v n o m
redu	r e d̪ u
3.-će	t̪ r i t̪ ɕ e
Zastupničkog	z a s t̪ u p n i t̪ ʃ k o ɡ
doma	d̪ o m aː
28	d̪ v a d̪ e s e t̪ o s aː m
točaka	t̪ o t̪ ʃ aː k aː
najvažniju	n a j v aː ʒ n i j u
njima	ɲ i m aː
akademik	a k aː d̪ e m i k
Pavletić	p a v l e t̪ i t̪ ɕ
proračuna	p r o r aː t̪ ʃ u n aː
ovu	o v u
godinu	ɡ o d̪ i n u
naglasio	n a ɡ l aː s i o
zasigurno	z a s i ɡ u r n o
iskazan	i s k aː z aː n
veliki	v e l i k i
interes	i n t̪ e r e s
temeljnom	t̪ e m e ʎ n o m
financijskom	f i n aː n t̪ s i j s k o m
dokumentu	d̪ o k u m e n t̪ u
član-	t̪ ʃ l a n
Članice	t̪ ʃ l a n i t̪ s e
Hrvatskog	x r v a t̪ s k o ɡ
