Word	IPA transcription
влади	v l̪ ɑ d̪ ɪ
йому	j ɔ m u
вдалося	v d̪ ɑ l̪ ɔ s̪ ɑ
втекти	v t̪ ɛ k t̪ ɪ
колонії	k ɔ l̪ ɔ n̪ʲ i j i
всього	v s̪ ɔ ɦ ɔ
в	v
області	ɔ b l̪ ɑ s̪ t̪ i
бракує	b r ɑ k u ɛ
лікарів	lʲ i k ɑ rʲ i v
про	p r ɔ
що	ʃ t̪ ʃ ɔ
заявив	z̪ ɑ ɑ v ɪ v
перебуваючи	p ɛ r ɛ b u v ɑ u t̪ ʃ ɪ
Донецьку	d̪ ɔ n̪ ɛ t̪s̪ʲ k u
ринку	r ɪ n̪ k u
тільки	t̪ i lʲ k ɪ
говорять	ɦ ɔ v ɔ rʲ ɑ t̪
того	t̪ ɔ ɦ ɔ
ж	ʒ
чоловік	t̪ ʃ ɔ l̪ ɔ v i k
навіть	n̪ ɑ v i t̪
громадянин	ɦ r ɔ m ɑ d̪ʲ ɑ n̪ ɪ n̪
бачимо	b ɑ t̪ ʃ ɪ m ɔ
як	j ɑ k
формується	f ɔ r m u ɛ t̪ s̪ ɑ
нова	n̪ ɔ v ɑ
еліта	ɛ lʲ i t̪ ɑ
сам	s̪ ɑ m
по	p ɔ
собі	s̪ ɔ b i
факт	f ɑ k t̪
ніби	n̪ʲ i b ɪ
нічого	n̪ʲ i t̪ ʃ ɔ ɦ ɔ
значить	z̪ n̪ ɑ t̪ ʃ ɪ t̪
так	t̪ ɑ k
було	b u l̪ ɔ
зі	z̪ʲ i
мною	m n̪ ɔ u
однак	ɔ d̪ n̪ ɑ k
результатів	r ɛ z̪ u lʲ t̪ ɑ t̪ i v
дав	d̪ ɑ v
сьогодні	s̪ ɔ ɦ ɔ d̪ n̪ʲ i
стан	s̪ t̪ ɑ n̪
наших	n̪ ɑ ʃ ɪ x
доріг	d̪ ɔ rʲ i ɦ
відповідає	v i d̪ p ɔ v i d̪ ɑ ɛ
сучасним	s̪ u t̪ ʃ ɑ s̪ n̪ ɪ m
вимогам	v ɪ m ɔ ɦ ɑ m
цього	t̪s̪ʲ ɔ ɦ ɔ
у	u
державі	d̪ ɛ r ʒ ɑ v i
поки	p ɔ k ɪ
хай	x ɑ j
вважають	v v ɑ ʒ ɑ u t̪
його	j ɔ ɦ ɔ
своїм	s̪ v ɔ j i m
росіяни	r ɔ s̪ i ɑ n̪ ɪ
аби	ɑ b ɪ
її	j i j i
придбати	p r ɪ d̪ b ɑ t̪ ɪ
спеціальний	s̪ p ɛ t̪s̪ʲ i ɑ lʲ n̪ ɪ j
дозвіл	d̪ ɔ z̪ v i l̪
я	j ɑ
можу	m ɔ ʒ u
дивитися	d̪ ɪ v ɪ t̪ ɪ s̪ ɑ
спокійно	s̪ p ɔ k i j n̪ ɔ
хто	x t̪ ɔ
перебував	p ɛ r ɛ b u v ɑ v
борту	b ɔ r t̪ u
загинули	z̪ ɑ ɦ ɪ n̪ u l̪ ɪ
потім	p ɔ t̪ i m
зустрівся	z̪ u s̪ t̪ rʲ i v s̪ ɑ
журналістами	ʒ u r n̪ ɑ lʲ i s̪ t̪ ɑ m ɪ
громадськістю	ɦ r ɔ m ɑ d̪ s̪ k i s̪ t̪ u
обласного	ɔ b l̪ ɑ s̪ n̪ ɔ ɦ ɔ
центру	t̪s̪ ɛ n̪ t̪ r u
дорогу	d̪ ɔ r ɔ ɦ u
грошей	ɦ r ɔ ʃ ɛ j
щоб	ʃ t̪ ʃ ɔ b
втратити	v t̪ r ɑ t̪ ɪ t̪ ɪ
свого	s̪ v ɔ ɦ ɔ
захисту	z̪ ɑ x ɪ s̪ t̪ u
мені	m ɛ n̪ʲ i
дуже	d̪ u ʒ ɛ
подобається	p ɔ d̪ ɔ b ɑ ɛ t̪ s̪ ɑ
таке	t̪ ɑ k ɛ
ще	ʃ t̪ ʃ ɛ
буде	b u d̪ ɛ
є	j ɛ
великі	v ɛ l̪ ɪ k i
підприємства	p i d̪ p r ɪ ɛ m s̪ t̪ v ɑ
нас	n̪ ɑ s̪
геть	ɦ ɛ t̪
інша	i n̪ ʃ ɑ
картина	k ɑ r t̪ ɪ n̪ ɑ
місця	m i s̪ t̪s̪ʲ ɑ
немає	n̪ ɛ m ɑ ɛ
жити	ʒ ɪ t̪ ɪ
Росії	r ɔ s̪ i j i
відкрили	v i d̪ k r ɪ l̪ ɪ
музей	m u z̪ ɛ j
Путіна	p u t̪ i n̪ ɑ
Американські	ɑ m ɛ r ɪ k ɑ n̪ s̪ k i
ЗМІ	z̪ m i
за	z̪ ɑ
кілька	k i lʲ k ɑ
днів	d̪ n̪ʲ i v
сесії	s̪ ɛ s̪ i j i
НУ	n̪ u
поставили	p ɔ s̪ t̪ ɑ v ɪ l̪ ɪ
перед	p ɛ r ɛ d̪
фактом	f ɑ k t̪ ɔ m
була	b u l̪ ɑ
дівчинка	d̪ʲ i v t̪ ʃ ɪ n̪ k ɑ
яку	j ɑ k u
назвали	n̪ ɑ z̪ v ɑ l̪ ɪ
Марія	m ɑ rʲ i ɑ
чому	t̪ ʃ ɔ m u
Олег	ɔ l̪ ɛ ɦ
Блохін	b l̪ ɔ x i n̪
їм	j i m
треба	t̪ r ɛ b ɑ
нашого	n̪ ɑ ʃ ɔ ɦ ɔ
дозволу	d̪ ɔ z̪ v ɔ l̪ u
ціни	t̪s̪ʲ i n̪ ɪ
підняти	p i d̪ n̪ʲ ɑ t̪ ɪ
вересня	v ɛ r ɛ s̪ n̪ʲ ɑ
минулого	m ɪ n̪ u l̪ ɔ ɦ ɔ
року	r ɔ k u
два	d̪ v ɑ
роки	r ɔ k ɪ
поточать	p ɔ t̪ ɔ t̪ ʃ ɑ t̪
деякі	d̪ ɛ ɑ k i
них	n̪ ɪ x
взяли	v z̪ʲ ɑ l̪ ɪ
із	i z̪
собою	s̪ ɔ b ɔ u
дітей	d̪ʲ i t̪ ɛ j
подарунки	p ɔ d̪ ɑ r u n̪ k ɪ
отримали	ɔ t̪ r ɪ m ɑ l̪ ɪ
учасники	u t̪ ʃ ɑ s̪ n̪ ɪ k ɪ
конкурсу	k ɔ n̪ k u r s̪ u
їхні	j i x n̪ʲ i
батьки	b ɑ t̪ k ɪ
таких	t̪ ɑ k ɪ x
звернень	z̪ v ɛ r n̪ ɛ n̪ʲ
п'ять	p j ɑ t̪
йде	j d̪ ɛ
Себастьян	s̪ ɛ b ɑ s̪ t̪ ɑ n̪
Феттель	f ɛ t̪ t̪ ɛ lʲ
знову	z̪ n̪ ɔ v u
переміг	p ɛ r ɛ m i ɦ
поширення	p ɔ ʃ ɪ r ɛ n̪ n̪ʲ ɑ
такі	t̪ ɑ k i
договори	d̪ ɔ ɦ ɔ v ɔ r ɪ
зробив	z̪ r ɔ b ɪ v
себе	s̪ ɛ b ɛ
відкриття	v i d̪ k r ɪ t̪ t̪ ɑ
мою	m ɔ u
думку	d̪ u m k u
їй	j i j
під	p i d̪
будуть	b u d̪ u t̪
тебе	t̪ ɛ b ɛ
ось	ɔ s̪
люди	lʲ u d̪ ɪ
вирішити	v ɪ rʲ i ʃ ɪ t̪ ɪ
разом	r ɑ z̪ ɔ m
видання	v ɪ d̪ ɑ n̪ n̪ʲ ɑ
відчуття	v i d̪ t̪ ʃ u t̪ t̪ ɑ
своєї	s̪ v ɔ ɛ j i
країни	k r ɑ j i n̪ ɪ
день	d̪ ɛ n̪ʲ
мало	m ɑ l̪ ɔ
три	t̪ r ɪ
карбованці	k ɑ r b ɔ v ɑ n̪ t̪s̪ʲ i
заробив	z̪ ɑ r ɔ b ɪ v
тим	t̪ ɪ m
часом	t̪ ʃ ɑ s̪ ɔ m
Вінниці	v i n̪ n̪ ɪ t̪s̪ʲ i
українців	u k r ɑ j i n̪ t̪s̪ʲ i v
борода	b ɔ r ɔ d̪ ɑ
стирчала	s̪ t̪ ɪ r t̪ ʃ ɑ l̪ ɑ
чорна	t̪ ʃ ɔ r n̪ ɑ
матч	m ɑ t̪ t̪ ʃ
відбудеться	v i d̪ b u d̪ ɛ t̪ s̪ ɑ
середу	s̪ ɛ r ɛ d̪ u
третього	t̪ r ɛ t̪ ɔ ɦ ɔ
червня	t̪ ʃ ɛ r v n̪ʲ ɑ
дві	d̪ v i
тисячі	t̪ ɪ s̪ ɑ t̪ ʃ i
тринадцятого	t̪ r ɪ n̪ ɑ d̪ t̪s̪ʲ ɑ t̪ ɔ ɦ ɔ
то	t̪ ɔ
Юля	j u lʲ ɑ
йдеться	j d̪ ɛ t̪ s̪ ɑ
заяві	z̪ ɑ ɑ v i
Нацбанку	n̪ ɑ t̪s̪ b ɑ n̪ k u
донецьких	d̪ ɔ n̪ ɛ t̪s̪ʲ k ɪ x
таки	t̪ ɑ k ɪ
кишені	k ɪ ʃ ɛ n̪ʲ i
тоді	t̪ ɔ d̪ʲ i
потенціал	p ɔ t̪ ɛ n̪ t̪s̪ʲ i ɑ l̪
європейського	j ɛ v r ɔ p ɛ j s̪ k ɔ ɦ ɔ
значно	z̪ n̪ ɑ t̪ ʃ n̪ ɔ
більший	b i lʲ ʃ ɪ j
багато	b ɑ ɦ ɑ t̪ ɔ
доводиться	d̪ ɔ v ɔ d̪ ɪ t̪ s̪ ɑ
робити	r ɔ b ɪ t̪ ɪ
просто	p r ɔ s̪ t̪ ɔ
місці	m i s̪ t̪s̪ʲ i
метою	m ɛ t̪ ɔ u
забезпечення	z̪ ɑ b ɛ z̪ p ɛ t̪ ʃ ɛ n̪ n̪ʲ ɑ
стабільності	s̪ t̪ ɑ b i lʲ n̪ ɔ s̪ t̪ i
держав	d̪ ɛ r ʒ ɑ v
єврозони	j ɛ v r ɔ z̪ ɔ n̪ ɪ
такий	t̪ ɑ k ɪ j
закон	z̪ ɑ k ɔ n̪
діє	d̪ʲ i ɛ
досі	d̪ ɔ s̪ i
краще	k r ɑ ʃ t̪ ʃ ɛ
пізно	p i z̪ n̪ ɔ
ніж	n̪ʲ i ʒ
ніколи	n̪ʲ i k ɔ l̪ ɪ
виглядає	v ɪ ɦ lʲ ɑ d̪ ɑ ɛ
лише	l̪ ɪ ʃ ɛ
початок	p ɔ t̪ ʃ ɑ t̪ ɔ k
серед	s̪ ɛ r ɛ d̪
пріоритетів	p rʲ i ɔ r ɪ t̪ ɛ t̪ i v
облдержадміністрації	ɔ b l̪ d̪ ɛ r ʒ ɑ d̪ m i n̪ʲ i s̪ t̪ r ɑ t̪s̪ʲ i j i
залучення	z̪ ɑ l̪ u t̪ ʃ ɛ n̪ n̪ʲ ɑ
інвестицій	i n̪ v ɛ s̪ t̪ ɪ t̪s̪ʲ i j
крім	k rʲ i m
пенсій	p ɛ n̪ s̪ i j
інших	i n̪ ʃ ɪ x
джерел	d̪ ʒ ɛ r ɛ l̪
доходу	d̪ ɔ x ɔ d̪ u
маємо	m ɑ ɛ m ɔ
взагалі	v z̪ ɑ ɦ ɑ lʲ i
можемо	m ɔ ʒ ɛ m ɔ
залишитися	z̪ ɑ l̪ ɪ ʃ ɪ t̪ ɪ s̪ ɑ
без	b ɛ z̪
хліба	x lʲ i b ɑ
дехто	d̪ ɛ x t̪ ɔ
колег	k ɔ l̪ ɛ ɦ
відверто	v i d̪ v ɛ r t̪ ɔ
говорив	ɦ ɔ v ɔ r ɪ v
цю	t̪s̪ʲ u
проблему	p r ɔ b l̪ ɛ m u
позавчора	p ɔ z̪ ɑ v t̪ ʃ ɔ r ɑ
пролунав	p r ɔ l̪ u n̪ ɑ v
вирок	v ɪ r ɔ k
нове	n̪ ɔ v ɛ
майбутнє	m ɑ j b u t̪ n̪ʲ ɛ
дарує	d̪ ɑ r u ɛ
виборах	v ɪ b ɔ r ɑ x
видно	v ɪ d̪ n̪ ɔ
той	t̪ ɔ j
момент	m ɔ m ɛ n̪ t̪
приміщенні	p r ɪ m i ʃ t̪ ʃ ɛ n̪ n̪ʲ i
вже	v ʒ ɛ
нікого	n̪ʲ i k ɔ ɦ ɔ
має	m ɑ ɛ
бути	b u t̪ ɪ
скільки	s̪ k i lʲ k ɪ
вона	v ɔ n̪ ɑ
потрапила	p ɔ t̪ r ɑ p ɪ l̪ ɑ
звідси	z̪ v i d̪ s̪ ɪ
назва	n̪ ɑ z̪ v ɑ
форуму	f ɔ r u m u
перший	p ɛ r ʃ ɪ j
сайті	s̪ ɑ j t̪ i
міністерства	m i n̪ʲ i s̪ t̪ ɛ r s̪ t̪ v ɑ
оборони	ɔ b ɔ r ɔ n̪ ɪ
через	t̪ ʃ ɛ r ɛ z̪
дні	d̪ n̪ʲ i
повідомлення	p ɔ v i d̪ ɔ m l̪ ɛ n̪ n̪ʲ ɑ
біда	b i d̪ ɑ
всієї	v s̪ i ɛ j i
право	p r ɑ v ɔ
дали	d̪ ɑ l̪ ɪ
живе	ʒ ɪ v ɛ
читачів	t̪ ʃ ɪ t̪ ɑ t̪ ʃ i v
партнерів	p ɑ r t̪ n̪ ɛ rʲ i v
нього	n̪ʲ ɔ ɦ ɔ
вийде	v ɪ j d̪ ɛ
тихо	t̪ ɪ x ɔ
навколо	n̪ ɑ v k ɔ l̪ ɔ
стало	s̪ t̪ ɑ l̪ ɔ
повідомляє	p ɔ v i d̪ ɔ m lʲ ɑ ɛ
сайт	s̪ ɑ j t̪
фонду	f ɔ n̪ d̪ u
якщо	j ɑ k ʃ t̪ ʃ ɔ
страхування	s̪ t̪ r ɑ x u v ɑ n̪ n̪ʲ ɑ
інвалідів	i n̪ v ɑ lʲ i d̪ʲ i v
передбачені	p ɛ r ɛ d̪ b ɑ t̪ ʃ ɛ n̪ʲ i
пільги	p i lʲ ɦ ɪ
хату	x ɑ t̪ u
вимазала	v ɪ m ɑ z̪ ɑ l̪ ɑ
оббілила	ɔ b b i l̪ ɪ l̪ ɑ
Янукович	j ɑ n̪ u k ɔ v ɪ t̪ ʃ
теж	t̪ ɛ ʒ
іде	i d̪ ɛ
цим	t̪s̪ ɪ m
шляхом	ʃ lʲ ɑ x ɔ m
тож	t̪ ɔ ʒ
вирішили	v ɪ rʲ i ʃ ɪ l̪ ɪ
створити	s̪ t̪ v ɔ r ɪ t̪ ɪ
народний	n̪ ɑ r ɔ d̪ n̪ ɪ j
Лесі	l̪ ɛ s̪ i
близькі	b l̪ ɪ z̪ʲ k i
придбання	p r ɪ d̪ b ɑ n̪ n̪ʲ ɑ
активів	ɑ k t̪ ɪ v i v
адже	ɑ d̪ ʒ ɛ
такого	t̪ ɑ k ɔ ɦ ɔ
актор	ɑ k t̪ ɔ r
класу	k l̪ ɑ s̪ u
справді	s̪ p r ɑ v d̪ʲ i
повідомило	p ɔ v i d̪ ɔ m ɪ l̪ ɔ
джерело	d̪ ʒ ɛ r ɛ l̪ ɔ
Української	u k r ɑ j i n̪ s̪ k ɔ j i
правди	p r ɑ v d̪ ɪ
головний	ɦ ɔ l̪ ɔ v n̪ ɪ j
захід	z̪ ɑ x i d̪
Тернопільщині	t̪ ɛ r n̪ ɔ p i lʲ ʃ t̪ ʃ ɪ n̪ʲ i
вийшла	v ɪ j ʃ l̪ ɑ
заміж	z̪ ɑ m i ʒ
народила	n̪ ɑ r ɔ d̪ ɪ l̪ ɑ
вас	v ɑ s̪
політика	p ɔ lʲ i t̪ ɪ k ɑ
інтерес	i n̪ t̪ ɛ r ɛ s̪
робота	r ɔ b ɔ t̪ ɑ
ситуація	s̪ ɪ t̪ u ɑ t̪s̪ʲ i ɑ
сусідній	s̪ u s̪ i d̪ n̪ʲ i j
Польщі	p ɔ lʲ ʃ t̪ ʃ i
нині	n̪ ɪ n̪ʲ i
дещо	d̪ ɛ ʃ t̪ ʃ ɔ
робиться	r ɔ b ɪ t̪ s̪ ɑ
Баварія	b ɑ v ɑ rʲ i ɑ
зацікавилась	z̪ ɑ t̪s̪ʲ i k ɑ v ɪ l̪ ɑ s̪
бразильцем	b r ɑ z̪ ɪ lʲ t̪s̪ ɛ m
київського	k ɪ j i v s̪ k ɔ ɦ ɔ
Динамо	d̪ ɪ n̪ ɑ m ɔ
Франції	f r ɑ n̪ t̪s̪ʲ i j i
працюють	p r ɑ t̪s̪ʲ u u t̪
всю	v s̪ u
потужність	p ɔ t̪ u ʒ n̪ʲ i s̪ t̪
намагаються	n̪ ɑ m ɑ ɦ ɑ u t̪ s̪ ɑ
використати	v ɪ k ɔ r ɪ s̪ t̪ ɑ t̪ ɪ
можливості	m ɔ ʒ l̪ ɪ v ɔ s̪ t̪ i
листопаді	l̪ ɪ s̪ t̪ ɔ p ɑ d̪ʲ i
Тетяна	t̪ ɛ t̪ ɑ n̪ ɑ
знайшла	z̪ n̪ ɑ j ʃ l̪ ɑ
своє	s̪ v ɔ ɛ
щастя	ʃ t̪ ʃ ɑ s̪ t̪ ɑ
свої	s̪ v ɔ j i
проблеми	p r ɔ b l̪ ɛ m ɪ
котрих	k ɔ t̪ r ɪ x
рядок	rʲ ɑ d̪ ɔ k
дрібних	d̪ rʲ i b n̪ ɪ x
перли	p ɛ r l̪ ɪ
зубів	z̪ u b i v
Україні	u k r ɑ j i n̪ʲ i
житті	ʒ ɪ t̪ t̪ i
кожного	k ɔ ʒ n̪ ɔ ɦ ɔ
спортсмена	s̪ p ɔ r t̪ s̪ m ɛ n̪ ɑ
настає	n̪ ɑ s̪ t̪ ɑ ɛ
тому	t̪ ɔ m u
можливість	m ɔ ʒ l̪ ɪ v i s̪ t̪
вибору	v ɪ b ɔ r u
роль	r ɔ lʲ
ДТП	d̪ t̪ p
порушено	p ɔ r u ʃ ɛ n̪ ɔ
кримінальну	k r ɪ m i n̪ ɑ lʲ n̪ u
справу	s̪ p r ɑ v u
готові	ɦ ɔ t̪ ɔ v i
нами	n̪ ɑ m ɪ
бачу	b ɑ t̪ ʃ u
їх	j i x
використовують	v ɪ k ɔ r ɪ s̪ t̪ ɔ v u u t̪
тут	t̪ u t̪
після	p i s̪ lʲ ɑ
здобуття	z̪ d̪ ɔ b u t̪ t̪ ɑ
вищої	v ɪ ʃ t̪ ʃ ɔ j i
освіти	ɔ s̪ v i t̪ ɪ
які	j ɑ k i
розв'язати	r ɔ z̪ v j ɑ z̪ ɑ t̪ ɪ
або	ɑ b ɔ
навчитися	n̪ ɑ v t̪ ʃ ɪ t̪ ɪ s̪ ɑ
ними	n̪ ɪ m ɪ
звичайно	z̪ v ɪ t̪ ʃ ɑ j n̪ ɔ
знали	z̪ n̪ ɑ l̪ ɪ
чекає	t̪ ʃ ɛ k ɑ ɛ
виборча	v ɪ b ɔ r t̪ ʃ ɑ
кампанія	k ɑ m p ɑ n̪ʲ i ɑ
тривала	t̪ r ɪ v ɑ l̪ ɑ
тобто	t̪ ɔ b t̪ ɔ
відповідний	v i d̪ p ɔ v i d̪ n̪ ɪ j
проект	p r ɔ ɛ k t̪
зробить	z̪ r ɔ b ɪ t̪
зацікавлені	z̪ ɑ t̪s̪ʲ i k ɑ v l̪ ɛ n̪ʲ i
одне	ɔ d̪ n̪ ɛ
одному	ɔ d̪ n̪ ɔ m u
подробиці	p ɔ d̪ r ɔ b ɪ t̪s̪ʲ i
наразі	n̪ ɑ r ɑ z̪ʲ i
відомі	v i d̪ ɔ m i
Василь	v ɑ s̪ ɪ lʲ
Шкляр	ʃ k lʲ ɑ r
відповів	v i d̪ p ɔ v i v
наші	n̪ ɑ ʃ i
запитання	z̪ ɑ p ɪ t̪ ɑ n̪ n̪ʲ ɑ
бо	b ɔ
допомагати	d̪ ɔ p ɔ m ɑ ɦ ɑ t̪ ɪ
іншим	i n̪ ʃ ɪ m
яких	j ɑ k ɪ x
Роман	r ɔ m ɑ n̪
Федорів	f ɛ d̪ ɔ rʲ i v
побачити	p ɔ b ɑ t̪ ʃ ɪ t̪ ɪ
місце	m i s̪ t̪s̪ ɛ
аварії	ɑ v ɑ rʲ i j i
власні	v l̪ ɑ s̪ n̪ʲ i
очі	ɔ t̪ ʃ i
білочка	b i l̪ ɔ t̪ ʃ k ɑ
деревину	d̪ ɛ r ɛ v ɪ n̪ u
лісі	lʲ i s̪ i
те	t̪ ɛ
нам	n̪ ɑ m
ніхто	n̪ʲ i x t̪ ɔ
був	b u v
зрозуміти	z̪ r ɔ z̪ u m i t̪ ɪ
представники	p r ɛ d̪ s̪ t̪ ɑ v n̪ ɪ k ɪ
районної	r ɑ j ɔ n̪ n̪ ɔ j i
спільні	s̪ p i lʲ n̪ʲ i
цінності	t̪s̪ʲ i n̪ n̪ ɔ s̪ t̪ i
людські	lʲ u d̪ s̪ k i
виникла	v ɪ n̪ ɪ k l̪ ɑ
проблема	p r ɔ b l̪ ɛ m ɑ
дев'яте	d̪ ɛ v j ɑ t̪ ɛ
двадцята	d̪ v ɑ d̪ t̪s̪ʲ ɑ t̪ ɑ
година	ɦ ɔ d̪ ɪ n̪ ɑ
тридцять	t̪ r ɪ d̪ t̪s̪ʲ ɑ t̪
хвилин	x v ɪ l̪ ɪ n̪
виявила	v ɪ ɑ v ɪ l̪ ɑ
світі	s̪ v i t̪ i
існують	i s̪ n̪ u u t̪
поняття	p ɔ n̪ʲ ɑ t̪ t̪ ɑ
лапок	l̪ ɑ p ɔ k
подібне	p ɔ d̪ʲ i b n̪ ɛ
Україна	u k r ɑ j i n̪ ɑ
велика	v ɛ l̪ ɪ k ɑ
Європейська	j ɛ v r ɔ p ɛ j s̪ k ɑ
держава	d̪ ɛ r ʒ ɑ v ɑ
нашим	n̪ ɑ ʃ ɪ m
людям	lʲ u d̪ʲ ɑ m
потрібно	p ɔ t̪ rʲ i b n̪ ɔ
історія	i s̪ t̪ ɔ rʲ i ɑ
склалася	s̪ k l̪ ɑ l̪ ɑ s̪ ɑ
інакше	i n̪ ɑ k ʃ ɛ
ну	n̪ u
може	m ɔ ʒ ɛ
хоч	x ɔ t̪ ʃ
комусь	k ɔ m u s̪
лежить	l̪ ɛ ʒ ɪ t̪
Януковичем	j ɑ n̪ u k ɔ v ɪ t̪ ʃ ɛ m
утім	u t̪ i m
повне	p ɔ v n̪ ɛ
завершення	z̪ ɑ v ɛ r ʃ ɛ n̪ n̪ʲ ɑ
роботи	r ɔ b ɔ t̪ ɪ
говорити	ɦ ɔ v ɔ r ɪ t̪ ɪ
рано	r ɑ n̪ ɔ
допомогою	d̪ ɔ p ɔ m ɔ ɦ ɔ u
йдуть	j d̪ u t̪
місцевої	m i s̪ t̪s̪ ɛ v ɔ j i
десятого	d̪ ɛ s̪ ɑ t̪ ɔ ɦ ɔ
урізали	u rʲ i z̪ ɑ l̪ ɪ
чимало	t̪ ʃ ɪ m ɑ l̪ ɔ
статей	s̪ t̪ ɑ t̪ ɛ j
витрат	v ɪ t̪ r ɑ t̪
мистецтво	m ɪ s̪ t̪ ɛ t̪s̪ t̪ v ɔ
поліпшення	p ɔ lʲ i p ʃ ɛ n̪ n̪ʲ ɑ
їхнього	j i x n̪ʲ ɔ ɦ ɔ
життя	ʒ ɪ t̪ t̪ ɑ
натомість	n̪ ɑ t̪ ɔ m i s̪ t̪
міська	m i s̪ k ɑ
влада	v l̪ ɑ d̪ ɑ
знав	z̪ n̪ ɑ v
яким	j ɑ k ɪ m
указ	u k ɑ z̪
диво	d̪ ɪ v ɔ
тепло	t̪ ɛ p l̪ ɔ
допомогу	d̪ ɔ p ɔ m ɔ ɦ u
прийшов	p r ɪ j ʃ ɔ v
син	s̪ ɪ n̪
тепер	t̪ ɛ p ɛ r
Закарпатті	z̪ ɑ k ɑ r p ɑ t̪ t̪ i
чотири	t̪ ʃ ɔ t̪ ɪ r ɪ
сотні	s̪ ɔ t̪ n̪ʲ i
тіло	t̪ i l̪ ɔ
знайшли	z̪ n̪ ɑ j ʃ l̪ ɪ
хтось	x t̪ ɔ s̪
передав	p ɛ r ɛ d̪ ɑ v
сказала	s̪ k ɑ z̪ ɑ l̪ ɑ
Мотря	m ɔ t̪ rʲ ɑ
показуючи	p ɔ k ɑ z̪ u u t̪ ʃ ɪ
Карпові	k ɑ r p ɔ v i
перебиту	p ɛ r ɛ b ɪ t̪ u
ногу	n̪ ɔ ɦ u
наскільки	n̪ ɑ s̪ k i lʲ k ɪ
можливо	m ɔ ʒ l̪ ɪ v ɔ
сказати	s̪ k ɑ z̪ ɑ t̪ ɪ
каже	k ɑ ʒ ɛ
повинно	p ɔ v ɪ n̪ n̪ ɔ
чий	t̪ ʃ ɪ j
же	ʒ ɛ
важко	v ɑ ʒ k ɔ
уявити	u ɑ v ɪ t̪ ɪ
можна	m ɔ ʒ n̪ ɑ
такому	t̪ ɑ k ɔ m u
селі	s̪ ɛ lʲ i
негативні	n̪ ɛ ɦ ɑ t̪ ɪ v n̪ʲ i
наслідки	n̪ ɑ s̪ lʲ i d̪ k ɪ
зрештою	z̪ r ɛ ʃ t̪ ɔ u
начальника	n̪ ɑ t̪ ʃ ɑ lʲ n̪ ɪ k ɑ
міліції	m i lʲ i t̪s̪ʲ i j i
належить	n̪ ɑ l̪ ɛ ʒ ɪ t̪
зробити	z̪ r ɔ b ɪ t̪ ɪ
замовлення	z̪ ɑ m ɔ v l̪ ɛ n̪ n̪ʲ ɑ
