Word	IPA transcription
odhadů	o t ɦ a d uː
dosahuje	d o s a ɦ u j ɛ
denní	d ɛ ɲ iː
výše	v iː ʃ ɛ
sto	s t o
milionů	m i l i o n uː
korun	k o r u n
listopadu	l i s t o p a d u
devatenáct	d ɛ v a t ɛ n aː t s t
set	s ɛ t
devadesát	d ɛ v a d ɛ s aː t
dva	d v a
stál	s t aː l
světových	s v j ɛ t o v iː x
trzích	t r̩ z iː x
barel	b a r ɛ l
ropy	r o p i
padesát	p a d ɛ s aː t
devět	d ɛ v j ɛ t
litrů	l i t r uː
kolem	k o l ɛ m
devatenácti	d ɛ v a t ɛ n aː t s c i
celých	t s ɛ l iː x
padesáti	p a d ɛ s aː c i
pěti	p j ɛ c i
setin	s ɛ c i n
dolaru	d o l a r u
Pokud	p o k u t
byste	b i s t ɛ
rozhodli	r o s ɦ o d l i
zajistit	z a j i s c i t
si	s i
pobyt	p o b i t
zahraničním	z a ɦ r a ɲ i t ʃ ɲ iː m
hotelu	ɦ o t ɛ l u
samostatně	s a m o s t a t ɲ ɛ
pak	p a k
zaplatíte	z a p l a c iː t ɛ
zpravidla	s p r a v i d l a
vyšší	v i ʃ ʃ iː
cenu	t s ɛ n u
jakou	j a k o u
vám	v aː m
ve	v ɛ
stejném	s t ɛ ɪ n ɛː m
zařízení	z a r̝ iː z ɛ ɲ iː
naúčtuje	n a uː t ʃ t u j ɛ
cestovní	t s ɛ s t o v ɲ iː
kancelář	k a n t s ɛ l aː r̝
včetně	f t ʃ ɛ t ɲ ɛ
své	s v ɛː
obchodní	o p x o d ɲ iː
přirážky	p r̝ i r aː ʃ k i
počátkem	p o t ʃ aː t k ɛ m
roku	r o k u
čtyři	t ʃ t i r̝ i
benzín	b ɛ n z iː n
speciál	s p ɛ t s i aː l
prodával	p r o d aː v a l
dvacet	d v a t s ɛ t
haléřů	ɦ a l ɛː r̝ uː
super	s u p ɛ r
Z	z ɛ t
více	v iː t s ɛ
důvodů	d uː v o d uː
rok	r o k
již	j i ʃ
můžete	m uː ʒ ɛ t ɛ
zapomenout	z a p o m ɛ n o u t
tři	t r̝ i
vašeho	v a ʃ ɛ ɦ o
manžela	m a n ʒ ɛ l a
daňové	d a ɲ o v ɛː
přiznání	p r̝ i z n aː ɲ iː
zpracuje	s p r a t s u j ɛ
zaměstnavatel	z a m ɲ ɛ s t n a v a t ɛ l
kterému	k t ɛ r ɛː m u
však	f ʃ a k
musí	m u s iː
předložit	p r̝ ɛ d l o ʒ i t
vyplněné	v i p l̩ ɲ ɛ n ɛː
podepsané	p o d ɛ p s a n ɛː
prohlášení	p r o ɦ l aː ʃ ɛ ɲ iː
uplatnění	u p l a t ɲ ɛ ɲ iː
nezdanitelných	n ɛ z d a ɲ i t ɛ l n iː x
částek	t ʃ aː s t ɛ k
dopravného	d o p r a v n ɛː ɦ o
poplatky	p o p l a t k i
sice	s i t s ɛ
vysoké	v i s o k ɛː
ale	a l ɛ
naši	n a ʃ i
společnosti	s p o l ɛ t ʃ n o s c i
vyplatí	v i p l a c iː
řekl	r̝ ɛ k l̩
nám	n aː m
ředitel	r̝ ɛ ɟ i t ɛ l
firmy	f i r m i
jiří	j i r̝ iː
nývlt	n iː v l̩ t
Pro	p r o
čtenáře	t ʃ t ɛ n aː r̝ ɛ
mohou	m o ɦ o u
být	b iː t
značně	z n a t ʃ ɲ ɛ
užitečné	u ʒ i t ɛ t ʃ n ɛː
přílohy	p r̝ iː l o ɦ i
nichž	ɲ i x ʃ
například	n a p r̝ iː k l a t
seznam	s ɛ z n a m
společností	s p o l ɛ t ʃ n o s c iː
působících	p uː s o b iː t s iː x
Asociaci	a s o t s i a t s i
leasingových	l ɛ a s i ŋ ɡ o v iː x
české	t ʃ ɛ s k ɛː
republiky	r ɛ p u b l i k i
Všeobecné	f ʃ ɛ o b ɛ t s n ɛː
smluvní	s m l u v ɲ iː
podmínky	p o d m iː ŋ k i
finančního	f i n a n t ʃ ɲ iː ɦ o
pronájmu	p r o n aː j m u
(	
leasingu	l ɛ a s i ŋ ɡ u
)	
movitých	m o v i t iː x
předmětů	p r̝ ɛ d m ɲ ɛ t uː
akontační	a k o n t a t ʃ ɲ iː
platební	p l a t ɛ b ɲ iː
celní	t s ɛ l ɲ iː
záruky	z aː r u k i
strana	s t r a n a
odbory	o d b o r i
vykastrovala	v i k a s t r o v a l a
zbavila	z b a v i l a
jejich	j ɛ j i x
původní	p uː v o d ɲ iː
funkce	f u ŋ k t s ɛ
rozeznali	r o z ɛ z n a l i
jste	j s t ɛ
není	n ɛ ɲ iː
určena	u r t ʃ ɛ n a
jen	j ɛ n
ekonomickým	ɛ k o n o m i t s k iː m
odborníkům	o d b o r ɲ iː k uː m
všem	f ʃ ɛ m
čtenářům	t ʃ t ɛ n aː r̝ uː m
jimž	j i m ʃ
má	m aː
přinášet	p r̝ i n aː ʃ ɛ t
informace	i n f o r m a t s ɛ
potřebné	p o t r̝ ɛ b n ɛː
pro	p r o
život	ʒ i v o t
dnešní	d n ɛ ʃ ɲ iː
měnící	m ɲ ɛ ɲ iː t s iː
S	ɛ s
rozumnou	r o z u m n o u
jasnou	j a s n o u
hospodářskou	ɦ o s p o d aː r̝ s k o u
politikou	p o l i t i k o u
České	t ʃ ɛ s k ɛː
republice	r ɛ p u b l i t s ɛ
nemusí	n ɛ m u s iː
moc	m o t s
dlouho	d l o u ɦ o
trvat	t r̩ v a t
aby	a b i
opět	o p j ɛ t
zařadila	z a r̝ a ɟ i l a
evropské	ɛ v r o p s k ɛː
průmyslově	p r uː m i s l o v j ɛ
nejvyspělejší	n ɛ ɪ v i s p j ɛ l ɛ ɪ ʃ iː
ekonomické	ɛ k o n o m i t s k ɛː
odpovídající	o t p o v iː d a j iː t s iː
produktivitou	p r o d u k t i v i t o u
práce	p r aː t s ɛ
vším	f ʃ iː m
co	t s o
tomu	t o m u
patří	p a t r̝ iː
praha	p r a ɦ a
obchodování	o p x o d o v aː ɲ iː
českém	t ʃ ɛ s k ɛː m
kapitálovém	k a p i t aː l o v ɛː m
letos	l ɛ t o s
zřejmě	z r̝ ɛ ɪ m ɲ ɛ
klidnější	k l i d ɲ ɛ j ʃ iː
loni	l o ɲ i
Trápí	t r aː p iː
vás	v aː s
daně	d a ɲ ɛ
?	
Podle	p o d l ɛ
jeho	j ɛ ɦ o
názoru	n aː z o r u
vedou	v ɛ d o u
státem	s t aː t ɛ m
určené	u r t ʃ ɛ n ɛː
nízké	ɲ iː s k ɛː
ceny	t s ɛ n i
paliv	p a l i v
energií	ɛ n ɛ r ɡ i iː
ke	k ɛ
znehodnocování	z n ɛ ɦ o d n o t s o v aː ɲ iː
investovaného	i n v ɛ s t o v a n ɛː ɦ o
kapitálu	k a p i t aː l u
do	d o
tohoto	t o ɦ o t o
oboru	o b o r u
Lépe	l ɛː p ɛ
dělat	ɟ ɛ l a t
sám	s aː m
argument	a r ɡ u m ɛ n t
nutné	n u t n ɛː
brát	b r aː t
ohled	o ɦ l ɛ t
starší	s t a r ʃ iː
diváky	ɟ i v aː k i
nechápu	n ɛ x aː p u
starším	s t a r ʃ iː m
lidem	l i d ɛ m
spíš	s p iː ʃ
horší	ɦ o r ʃ iː
sluch	s l u x
zrak	z r a k
vše	f ʃ ɛ
hovořilo	ɦ o v o r̝ i l o
předseda	p r̝ ɛ t s ɛ d a
ods	oː d ɛː ɛ s
václav	v aː t s l a v
klaus	k l a u s
otázce	o t aː s t s ɛ
vstupu	f s t u p u
EU	ɛ u
vyslovil	v i s l o v i l
konání	k o n aː ɲ iː
referenda	r ɛ f ɛ r ɛ n d a
Náš	n aː ʃ
student	s t u d ɛ n t
cílevědomý	t s iː l ɛ v j ɛ d o m iː
pragmatický	p r a ɡ m a t i t s k iː
většinou	v j ɛ t ʃ i n o u
konkrétní	k o ŋ k r ɛː t ɲ iː
svém	s v ɛː m
budoucím	b u d o u t s iː m
zaměření	z a m ɲ ɛ r̝ ɛ ɲ iː
posledních	p o s l ɛ d ɲ iː x
dvou	d v o u
letech	l ɛ t ɛ x
zdá	z d aː
zvyšuje	z v i ʃ u j ɛ
odpovědnost	o t p o v j ɛ d n o s t
přístupu	p r̝ iː s t u p u
studiu	s t u d i j u
uvádění	u v aː ɟ ɛ ɲ iː
nesprávných	n ɛ s p r aː v n iː x
údajů	uː d a j uː
prodávaném	p r o d aː v a n ɛː m
zboží	z b o ʒ iː
totiž	t o c i ʃ
poškozuje	p o ʃ k o z u j ɛ
u	u
zákazníků	z aː k a z ɲ iː k uː
důvěryhodnost	d uː v j ɛ r i ɦ o d n o s t
Ale	a l ɛ
kde	k d ɛ
vzít	v z iː t
Šlo	ʃ l o
by	b i
nepochybně	n ɛ p o x i b ɲ ɛ
výjimku	v iː j i m k u
neměla	n ɛ m ɲ ɛ l a
vliv	v l i v
systém	s i s t ɛː m
teorie	t ɛ o r i j ɛ
dovodila	d o v o ɟ i l a
praxe	p r a k s ɛ
potvrdila	p o t v r̩ ɟ i l a
neexistuje	n ɛ ɛ k s i s t u j ɛ
žádný	ʒ aː d n iː
nárok	n aː r o k
cokoli	t s o k o l i
Náklady	n aː k l a d i
výrobu	v iː r o b u
z	z ɛ t
devadesáti	d ɛ v a d ɛ s aː c i
procent	p r o t s ɛ n t
tvořeny	t v o r̝ ɛ n i
nákupem	n aː k u p ɛ m
jejíž	j ɛ j iː ʃ
cena	t s ɛ n a
poslední	p o s l ɛ d ɲ iː
době	d o b j ɛ
klesá	k l ɛ s aː
jinak	j i n a k
abych	a b i x
podpořil	p o t p o r̝ i l
tržní	t r̩ ʒ ɲ iː
vztahy	f s t a ɦ i
kultuře	k u l t u r̝ ɛ
vydal	v i d a l
výbor	v iː b o r
vlastních	v l a s t ɲ iː x
veršů	v ɛ r ʃ uː
peníze	p ɛ ɲ iː z ɛ
Lovci	l o f t s i
hlav	ɦ l a v
upravená	u p r a v ɛ n aː
rovněž	r o v ɲ ɛ ʃ
užívá	u ʒ iː v aː
mazání	m a z aː ɲ iː
řetězových	r̝ ɛ c ɛ z o v iː x
motorových	m o t o r o v iː x
pil	p i l
lesním	l ɛ s ɲ iː m
hospodářství	ɦ o s p o d aː r̝ s t v iː
Ukázalo	u k aː z a l o
nový	n o v iː
vlastník	v l a s t ɲ iː k
nemovitost	n ɛ m o v i t o s t
zastavil	z a s t a v i l
inkasovaných	i ŋ k a s o v a n iː x
peněz	p ɛ ɲ ɛ s
zástavu	z aː s t a v u
třicet	t r̝ i t s ɛ t
vybral	v i b r a l
polovinu	p o l o v i n u
nezaplatil	n ɛ z a p l a c i l
ani	a ɲ i
dlužné	d l u ʒ n ɛː
nájemné	n aː j ɛ m n ɛː
bez	b ɛ s
úroků	uː r o k uː
prodlení	p r o d l ɛ ɲ iː
činilo	t ʃ i ɲ i l o
uzavření	u z a v r̝ ɛ ɲ iː
kupní	k u p ɲ iː
smlouvy	s m l o u v i
asi	a s i
patnáct	p a t n aː t s t
získaný	z iː s k a n iː
úvěr	uː v j ɛ r
koupil	k o u p i l
další	d a l ʃ iː
dny	d n i
před	p r̝ ɛ t
akcí	a k t s iː
kdy	k d i
měli	m ɲ ɛ l i
starostové	s t a r o s t o v ɛː
nahlásit	n a ɦ l aː s i t
svůj	s v uː j
zájem	z aː j ɛ m
začaly	z a t ʃ a l i
naplňovat	n a p l̩ ɲ o v a t
nejčernější	n ɛ ɪ t ʃ ɛ r ɲ ɛ j ʃ iː
výstavbou	v iː s t a v b o u
nového	n o v ɛː ɦ o
terminálu	t ɛ r m i n aː l u
kapacita	k a p a t s i t a
zvýší	z v iː ʃ iː
dnešních	d n ɛ ʃ ɲ iː x
jedné	j ɛ d n ɛː
celé	t s ɛ l ɛː
osmi	o s m i
desetin	d ɛ s ɛ c i n
miliónu	m i l i oː n u
cestujících	t s ɛ s t u j iː t s iː x
ročně	r o t ʃ ɲ ɛ
osm	o s m
jenže	j ɛ n ʒ ɛ
vrtání	v r̩ t aː ɲ iː
tě	c ɛ
bolet	b o l ɛ t
občan	o p t ʃ a n
právo	p r aː v o
posoudit	p o s o u ɟ i t
všechna	f ʃ ɛ x n a
proti	p r o c i
takového	t a k o v ɛː ɦ o
kroku	k r o k u
zdůvodňuje	z d uː v o d ɲ u j ɛ
místopředseda	m iː s t o p r̝ ɛ t s ɛ d a
strany	s t r a n i
jan	j a n
kasal	k a s a l
Britští	b r i t ʃ c iː
pracovníci	p r a t s o v ɲ iː t s i
automobilky	a u t o m o b i l k i
Toyota	t o i o t a
vydělají	v i ɟ ɛ l a j iː
třinácti	t r̝ i n aː t s c i
tisíc	c i s iː t s
liber	l i b ɛ r
hrubého	ɦ r u b ɛː ɦ o
což	t s o ʃ
přibližně	p r̝ i b l i ʒ ɲ ɛ
méně	m ɛː ɲ ɛ
berou	b ɛ r o u
dělníci	ɟ ɛ l ɲ iː t s i
německých	ɲ ɛ m ɛ t s k iː x
automobilkách	a u t o m o b i l k aː x
nejvyšší	n ɛ ɪ v i ʃ ʃ iː
mzdy	m z d i
tomto	t o m t o
světě	s v j ɛ c ɛ
šéfdirigent	ʃ ɛː v d i r i ɡ ɛ n t
generální	ɡ ɛ n ɛ r aː l ɲ iː
vyslovili	v i s l o v i l i
přesvědčení	p r̝ ɛ s v j ɛ t t ʃ ɛ ɲ iː
fungovat	f u ŋ ɡ o v a t
nikdo	ɲ i k d o
nich	ɲ i x
nedopustí	n ɛ d o p u s c iː
jméno	j m ɛː n o
filharmonie	f i l ɦ a r m o n i ɛ
bylo	b i l o
nadále	n a d aː l ɛ
jakkoli	j a k o l i
zpochybňováno	s p o x i b ɲ o v aː n o
Firma	f i r m a
šetří	ʃ ɛ t r̝ iː
tím	c iː m
nemá	n ɛ m aː
vedoucího	v ɛ d o u t s iː ɦ o
výroby	v iː r o b i
skupině	s k u p i ɲ ɛ
už	u ʃ
nevyjde	n ɛ v i j d ɛ
demonstrovat	d ɛ m o n s t r o v a t
náměstí	n aː m ɲ ɛ s c iː
mělo	m ɲ ɛ l o
přistupovat	p r̝ i s t u p o v a t
solidárně	s o l i d aː r ɲ ɛ
slušně	s l u ʃ ɲ ɛ
usoudil	u s o u ɟ i l
zeman	z ɛ m a n
stomatologové	s t o m a t o l o ɡ o v ɛː
výhodách	v iː ɦ o d aː x
kombinace	k o m b i n a t s ɛ
rychlé	r i x l ɛː
dodávky	d o d aː f k i
plateb	p l a t ɛ p
řekli	r̝ ɛ k l i
sebou	s ɛ b o u
O	oː
tom	t o m
všechno	f ʃ ɛ x n o
skrývá	s k r iː v aː
uspořádáním	u s p o r̝ aː d aː ɲ iː m
všehovšudy	f ʃ ɛ ɦ o f ʃ u d i
několikahodinového	ɲ ɛ k o l i k a ɦ o ɟ i n o v ɛː ɦ o
koncertu	k o n t s ɛ r t u
jak	j a k
silně	s i l ɲ ɛ
ovlivňuje	o v l i v ɲ u j ɛ
výdělek	v iː ɟ ɛ l ɛ k
nebo	n ɛ b o
ztrátu	s t r aː t u
počasí	p o t ʃ a s iː
dočtete	d o t ʃ t ɛ t ɛ
příštím	p r̝ iː ʃ c iː m
čísle	t ʃ iː s l ɛ
třetí	t r̝ ɛ c iː
straně	s t r a ɲ ɛ
jinými	j i n iː m i
slovy	s l o v i
pokud	p o k u t
vezmeme	v ɛ z m ɛ m ɛ
úvahu	uː v a ɦ u
podobnost	p o d o b n o s t
dějů	ɟ ɛ j uː
struktur	s t r u k t u r
stejně	s t ɛ ɪ ɲ ɛ
vyspělých	v i s p j ɛ l iː x
ekonomikách	ɛ k o n o m i k aː x
nanejvýš	n a n ɛ ɪ v iː ʃ
důležité	d uː l ɛ ʒ i t ɛː
vývoj	v iː v o j
sledovat	s l ɛ d o v a t
protože	p r o t o ʒ ɛ
dříve	d r̝ iː v ɛ
či	t ʃ i
později	p o z ɟ ɛ j i
nás	n aː s
objeví	o b j ɛ v iː
Prognózy	p r o ɡ n oː z i
počítají	p o t ʃ iː t a j iː
konce	k o n t s ɛ
tisíce	c i s iː t s ɛ
pět	p j ɛ t
přežije	p r̝ ɛ ʒ i j ɛ
Evropě	ɛ v r o p j ɛ
šest	ʃ ɛ s t
výrobců	v iː r o p t s uː
dávejte	d aː v ɛ ɪ t ɛ
věc	v j ɛ t s
nákupu	n aː k u p u
pozor	p o z o r
Uvádí	u v aː ɟ iː
osmihodinové	o s m i ɦ o ɟ i n o v ɛː
pracovní	p r a t s o v ɲ iː
doby-	d o b i
sta	s t a
osmdesát	o s m d ɛ s aː t
minut	m i n u t
představuje	p r̝ ɛ t s t a v u j ɛ
aktivní	a k t i v ɲ iː
čas	t ʃ a s
takzvaný	t a k z v a n iː
prázdný	p r aː z d n iː
odpočinek	o t p o t ʃ i n ɛ k
pití	p i c iː
kávy	k aː v i
protažení	p r o t a ʒ ɛ ɲ iː
práci	p r aː t s i
počítačem	p o t ʃ iː t a t ʃ ɛ m
čtyřicet	t ʃ t i r̝ i t s ɛ t
lepí	l ɛ p iː
ji	j i
průkazky	p r uː k a s k i
když	k d i ʃ
jich	j i x
hodnotě	ɦ o d n o c ɛ
odečte	o d ɛ t ʃ t ɛ
mu	m u
tato	t a t o
částka	t ʃ aː s t k a
dalším	d a l ʃ iː m
kolik	k o l i k
lidí	l i ɟ iː
násilí	n aː s i l iː
použijí	p o u ʒ i j iː
uvědomí	u v j ɛ d o m iː
lesa	l ɛ s a
volá	v o l aː
tak	t a k
ozývá	o z iː v aː
Josef	j o s ɛ f
Kadlec	k a d l ɛ t s
nejmenovaného	n ɛ ɪ m ɛ n o v a n ɛː ɦ o
podniku	p o d ɲ i k u
jiného	j i n ɛː ɦ o
zmíněné	z m iː ɲ ɛ n ɛː
firmě	f i r m ɲ ɛ
působí	p uː s o b iː
manželky	m a n ʒ ɛ l k i
policistů	p o l i t s i s t uː
sekce	s ɛ k t s ɛ
někteří	ɲ ɛ k t ɛ r̝ iː
policisté	p o l i t s i s t ɛː
přesvědčeni	p r̝ ɛ s v j ɛ t t ʃ ɛ ɲ i
sebe	s ɛ b ɛ
nastrčili	n a s t r̩ t ʃ i l i
partneři	p a r t n ɛ r̝ i
předpokládaného	p r̝ ɛ t p o k l aː d a n ɛː ɦ o
seznamu	s ɛ z n a m u
podniků	p o d ɲ i k uː
mají	m a j iː
nabídnuty	n a b iː d n u t i
dikům	d i k uː m
investování	i n v ɛ s t o v aː ɲ iː
vybíráme	v i b iː r aː m ɛ
jednoho	j ɛ d n o ɦ o
typického	t i p i t s k ɛː ɦ o
představitele	p r̝ ɛ t s t a v i t ɛ l ɛ
zajímavosti	z a j iː m a v o s c i
stanovisko	s t a n o v i s k o
ministra	m i n i s t r a
financí	f i n a n t s iː
ivana	i v a n a
kočárníka	k o t ʃ aː r ɲ iː k a
hlavního	ɦ l a v ɲ iː ɦ o
možného	m o ʒ n ɛː ɦ o
iniciátora	i n i t s i aː t o r a
bankrotů	b a ŋ k r o t uː
považuje	p o v a ʒ u j ɛ
banky	b a ŋ k i
akcie	a k t s i j ɛ
podílely	p o ɟ iː l ɛ l i
pouhými	p o u ɦ iː m i
šedesáti	ʃ ɛ d ɛ s aː c i
milióny	m i l i oː n i
tedy	t ɛ d i
minulosti	m i n u l o s c i
prokázaly	p r o k aː z a l i
povinnost	p o v i n o s t
ovlivňovat	o v l i v ɲ o v a t
zákonodárství	z aː k o n o d aː r s t v iː
možno	m o ʒ n o
emocí	ɛ m o t s iː
arogance	a r o ɡ a n t s ɛ
počítačů	p o t ʃ iː t a t ʃ uː
využíváno	v i u ʒ iː v aː n o
kancelářích	k a n t s ɛ l aː r̝ iː x
místo	m iː s t o
psacích	p s a t s iː x
strojů	s t r o j uː
musíme	m u s iː m ɛ
ještě	j ɛ ʃ c ɛ
hodně	ɦ o d ɲ ɛ
zlepšit	z l ɛ p ʃ i t
roce	r o t s ɛ
sedumdesát	s ɛ d u m d ɛ s aː t
sedum	s ɛ d u m
nazývalo	n a z iː v a l o
rudé	r u d ɛː
samozvanci	s a m o z v a n t s i
lidi	l i ɟ i
podepsali	p o d ɛ p s a l i
chartu	x a r t u
níž	ɲ iː ʃ
také	t a k ɛː
psalo	p s a l o
takzvaná	t a k z v a n aː
ač	a t ʃ
ona	o n a
opravdu	o p r a v d u
charta	x a r t a
Kromě	k r o m ɲ ɛ
kvality	k v a l i t i
zpracování	s p r a t s o v aː ɲ iː
zaslouží	z a s l o u ʒ iː
ocenění	o t s ɛ ɲ ɛ ɲ iː
dobrý	d o b r iː
servis	s ɛ r v i s
my	m i
průmyslový	p r uː m i s l o v iː
finanční	f i n a n t ʃ ɲ iː
holding	ɦ o l ɟ i ŋ k
můžeme	m uː ʒ ɛ m ɛ
nabídnout	n a b iː d n o u t
třicetileté	t r̝ i t s ɛ c i l ɛ t ɛː
zkušenosti	s k u ʃ ɛ n o s c i
podobným	p o d o b n iː m
restrukturalizačním	r ɛ s t r u k t u r a l i z a t ʃ ɲ iː m
procesem	p r o t s ɛ s ɛ m
rakousku	r a k o u s k u
výrobce	v iː r o p t s ɛ
letadel	l ɛ t a d ɛ l
PZT	p ɛː z ɛ t t ɛː
nakupuje	n a k u p u j ɛ
motorletu	m o t o r l ɛ t u
pohonné	p o ɦ o n ɛː
jednotky	j ɛ d n o t k i
zemědělské	z ɛ m ɲ ɛ ɟ ɛ l s k ɛː
stroje	s t r o j ɛ
javelin	j a v ɛ l i n
potom	p o t o m
prý	p r iː
téměř	t ɛː m ɲ ɛ r̝
jisté	j i s t ɛː
oba	o b a
zapojeni	z a p o j ɛ ɲ i
kšeftů	k ʃ ɛ f t uː
kradenými	k r a d ɛ n iː m i
automobily	a u t o m o b i l i
stará	s t a r aː
přestrojení	p r̝ ɛ s t r o j ɛ ɲ iː
pašovaných	p a ʃ o v a n iː x
vozidel	v o z i d ɛ l
on	o n
nim	ɲ i m
obratem	o b r a t ɛ m
ruky	r u k i
dodává	d o d aː v aː
pravé	p r a v ɛː
Porady	p o r a d i
často	t ʃ a s t o
označovány	o z n a t ʃ o v aː n i
největšího	n ɛ ɪ v j ɛ t ʃ iː ɦ o
zloděje	z l o ɟ ɛ j ɛ
času	t ʃ a s u
východních	v iː x o d ɲ iː x
čechách	t ʃ ɛ x aː x
proběhl	p r o b j ɛ ɦ l̩
nedávno	n ɛ d aː v n o
soudní	s o u d ɲ iː
spor	s p o r
náhradu	n aː ɦ r a d u
škody	ʃ k o d i
způsobena	s p uː s o b ɛ n a
po	p o
úderu	uː d ɛ r u
blesku	b l ɛ s k u
vzňal	v z ɲ a l
fax	f a k s
dovezený	d o v ɛ z ɛ n iː
zahraničí	z a ɦ r a ɲ i t ʃ iː
nebyl	n ɛ b i l
schválen	s x v aː l ɛ n
fondu	f o n d u
část	t ʃ aː s t
investičních	i n v ɛ s t i t ʃ ɲ iː x
bodů	b o d uː
zbyla	z b i l a
zmíněných	z m iː ɲ ɛ n iː x
dvaceti	d v a t s ɛ c i
něco	ɲ ɛ t s o
Kolik	k o l i k
ceně	t s ɛ ɲ ɛ
zahrnut	z a ɦ r̩ n u t
katalog	k a t a l o k
účastníků	uː t ʃ a s t ɲ iː k uː
pronájem	p r o n aː j ɛ m
prostor	p r o s t o r
jednání	j ɛ d n aː ɲ iː
partnery	p a r t n ɛ r i
uveřejnění	u v ɛ r̝ ɛ ɪ ɲ ɛ ɲ iː
základních	z aː k l a d ɲ iː x
dat	d a t
