Word	IPA transcription
besiegten	b ə z iː k t ə n
Deutschen	d ɔ ɪ t ʃ ə n
Slowenien	s l oː v eː n ɪ ə n
79:57	n ɔ ɪ n ʊ n t z iː p t s ɪ ç z iː b ə n ʊ n t f ʏ n f t s ɪ ç
UN	ʊ n
hatten	h a t ə n
April	a p r iː l
vergangenen	f ɛ ʀ ɡ a ŋ ə n ə n
Jahres	j aː r ə s
Resolution	r eː z oː l uː t s ɪ oː n
Verbot	f ɛ ʀ b oː t
alle	a l ə
libyschen	l iː b ʏ ʃ ə n
Flüge	f l yː ɡ ə
ins	ɪ n s
verfügt	f ɛ ʀ f yː k t
sowie	z oː v iː
zum	t s ʊ m
Verkauf	f ɛ ʀ k a ʊ f
Waffen	v a f ə n
Tripolis	t ʀ iː p oː l ɪ s
erlassen	ɛ ʀ l a s ə n
Staatsanwaltschaft	ʃ t aː t z a n v a l t ʃ a f t
wirft	v ɪ ʀ f t
28	a x t ʊ n t t s v a n t s ɪ ç
Grafiker	ɡ r a f iː k ɛ
Mord	m ɔ ʀ t
Frauen	f r a ʊ ə n
Tateinheit	t a t a ɪ n h a ɪ t
Nötigung	n øː t ɪ ɡ ʊ ŋ
Freiheitsberaubung	f r a ɪ h a ɪ t s b eː r a ʊ b ʊ ŋ
Vergewaltigung	f ɛ ʀ ɡ ə v a l t ɪ ɡ ʊ ŋ
vor	f ɔ ʀ
Nachfrage	n a x f r aː ɡ ə
Sonnenenergie	z ɔ n ə n ɛ n ɛ ɡ iː
womöglich	v oː m øː k l ɪ ç
stürmisch	ʃ t ʏ ʀ m ɪ ʃ
Umweltschützer	ʊ m v ɛ l t ʃ ʏ t s ɛ
vorstellen	f oː ʀ ʃ t ɛ l ə n
kurz	k ʊ ɐ t s
danach	d a n a x
gab	ɡ aː p
Jon	j oː n
Western	v ɛ s t ɛ n
Auftrag	a ʊ f t ʀ aː k
hatte	h a t ə
serbische	z ɛ ʀ b ɪ ʃ ə
Kriegsverbrechen	k r iː k s f ɛ b r ɛ ç ə n
untersuchen	ʊ n t ɛ z uː x ə n
seinen	z a ɪ n ə n
Posten	p ɔ s t ə n
denn	d ɛ n
Christen	k r ɪ s t ə n
Türkei	t ʏ ʀ k a ɪ
integrieren	ɪ n t ɛ ɡ r iː r ə n
schnell	ʃ n ɛ l
Gastländer	ɡ a s t l ɛ n d ɛ
schon	ʃ oː n
Kinder	k ɪ n d ɛ
Einwanderer	a ɪ n v a n d ə r ɛ
sprechen	ʃ p r ɛ ç ə n
untereinander	ʊ n t ɛ a ɪ n a n d ɛ
oft	ɔ f t
Deutsch	d ɔ ɪ t ʃ
seit	z a ɪ t
1981	a ɪ n t a ʊ z ə n t n ɔ ɪ n h ʊ n d ɛ t a ɪ n ʊ n t a x t s ɪ ç
sind	z ɪ n t
Realeinkommen	r eː a l a ɪ n k ɔ m ə n
Kanada	k a n a d aː
mehr	m eː ʀ
gestiegen	ɡ ə ʃ t iː ɡ ə n
allem	a l ə m
strukturellen	ʃ t ʀ ʊ k t uː r ɛ l ə n
Gründen	ɡ r ʏ n d ə n
Verbrechen	f ɛ ʀ b r ɛ ç ə n
Todesstrafe	t oː d ɛ s ʃ t ʀ aː f ə
zogen	t s oː ɡ ə n
braucht	b r a ʊ x t
kaum	k a ʊ m
betont	b ə t ɔ n t
Osterglaube	oː s t ɛ ɡ l a ʊ b ə
will	v ɪ l
allen	a l ə n
Zeiten	t s a ɪ t ə n
grundsätzlich	ɡ r ʊ n d z ɛ t s l ɪ ç
jeder	j eː d ɛ
Angst	a ŋ s t
Menschenfurcht	m ɛ n ʃ ə n f ʊ ɐ ç t
befreien	b ə f r a ɪ ə n
andermal	a n d ɛ m aː l
meint	m a ɪ n t
väterliche	f ɛː t ɛ l ɪ ç ə
Vorschriften	f oː ʀ ʃ r ɪ f t ə n
zukünftigen	t s uː k ʏ n f t ɪ ɡ ə n
Friedrich	f r iː d r ɪ ç
II	t s v a ɪ
Malaysia	m a l a ɪ z iː aː
23	d r a ɪ ʊ n t t s v a n t s ɪ ç
alte	a l t ə
neun	n ɔ ɪ n
Tage	t aː ɡ ə
lang	l a ŋ
Jugendlichen	j uː ɡ ə n t l ɪ ç ə n
gefangengehalten	ɡ ə f a ŋ ə n ɡ eː a l t ə n
vergewaltigt	f ɛ ʀ ɡ ə v a l t ɪ ç t
manche	m a n ç ə
Richter	r ɪ ç t ɛ
Baskenland	b a s k ə n l a n t
einen	a ɪ n ə n
Freund	f r ɔ ɪ n t
Eta-Terroristen	eː t aː t ɛ r oː r ɪ s t ə n
verurteilen	f ɛ ʀ ʊ ɐ t a ɪ l ə n
könnte	k œ n t ə
dann	d a n
Fall	f a l
vorsätzlicher	f oː ʀ z ɛ t s l ɪ ç ɛ
Steuerhinterziehung	ʃ t ɔ ɪ ɛ h ɪ n t ɛ t s iː ʊ ŋ
Blick	b l ɪ k
nächsten	n ɛ ç s t ə n
Jahr	j aː ʀ
anstehende	a n ʃ t eː ə n d ə
Serie	s eː r ɪ ə
Wahlen	v aː l ə n
Politik	p oː l iː t iː k
Rundfunkanstalten	r ʊ n t f ʊ ŋ k a n s t a l t ə n
Hilfe	h ɪ l f ə
kommen	k ɔ m ə n
Absturz	a p ʃ t ʊ ɐ t s
sollen	z ɔ l ə n
noch	n ɔ x
wertvolle	v ɛ ʀ t f ɔ l ə
Gemälde	ɡ ə m ɛ l d ə
Antiquitäten	a n t iː k v iː t ɛː t ə n
Hotel	h oː t ə l
befunden	b ə f ʊ n d ə n
Westen	v ɛ s t ə n
sagen	z aː ɡ ə n
Kroatien	k r oː a t iː ə n
helfen	h ɛ l f ə n
Serben	z ɛ ʀ b ə n
besetzten	b ə z ɛ t s t ə n
Gebiete	ɡ ə b iː t ə
zurückzuerlangen	t s uː r ʏ k t s uː ɛ ʀ l a ŋ ə n
derzeit	d ɛ ʀ t s a ɪ t
liegt	l iː k t
Vorsitz	f oː ʀ z ɪ t s
Schweden	ʃ v eː d ə n
wurde	v ʊ ɐ d ə
Wasmosy	v a s m oː z iː
übergelaufener	yː b ɛ ɡ ə l a ʊ f ə n ɛ
liberaler	l iː b eː r aː l ɛ
echten	ɛ ç t ə n
Colorados	k oː l oː r a d oː s
echter	ɛ ç t ɛ
Colorado	k oː l oː r aː d oː
anerkannt	a n ɛ ʀ k a n t
daraus	d aː r a ʊ s
erklärt	ɛ ʀ k l ɛ ʀ t
sowohl	z oː v oː l
gewisse	ɡ ə v ɪ s ə
Nervosität	n ɛ ʀ v oː z iː t ɛː t
jetzt	j ɛ t s t
gekannte	ɡ ə k a n t ə
Rücksichtslosigkeit	r ʏ k s ɪ ç t s l oː z ɪ ç k a ɪ t
gegenüber	ɡ eː ɡ ə n yː b ɛ
internationalen	ɪ n t ɛ n a t s ɪ oː n aː l ə n
Organisationen	ɔ ʀ ɡ a n iː z a t s ɪ oː n ə n
beide	b a ɪ d ə
gegeneinander	ɡ eː ɡ ə n a ɪ n a n d ɛ
ausspielen	a ʊ s ʃ p iː l ə n
leichter	l a ɪ ç t ɛ
vergessen	f ɛ ʀ ɡ ɛ s ə n
machen	m a x ə n
Anklagebehörde	a n k l a ɡ eː b eː œ ʀ d ə
vermutete	f ɛ ʀ m uː t ə t ə
Tat	t aː t
allein	a l a ɪ n
beging	b ə ɡ ɪ ŋ
auch	a ʊ x
dritten	d r ɪ t ə n
Person	p ɛ ʀ z oː n
erschossene	ɛ ʀ ʃ ɔ s ə n ə
Grams	ɡ r aː m s
Aktion	a k t s ɪ oː n
verhaftete	f ɛ ʀ h a f t ə t ə
Birgit	b ɪ ʀ ɡ ɪ t
Hogefeld	h oː ɡ eː f ɛ l t
vorher	f oː ʀ h eː ʀ
getroffen	ɡ ə t ʀ ɔ f ə n
fehlt	f eː l t
jede	j eː d ə
Information	ɪ n f ɔ ʀ m a t s ɪ oː n
unabhängiges	ʊ n a p h ɛ ŋ ɪ ɡ ə s
Gremium	ɡ r eː m iː ʊ m
könne	k œ n ə
prüfen	p r yː f ə n
ob	ɔ p
Selbstreinigung	z ɛ l p s t ʀ a ɪ n ɪ ɡ ʊ ŋ
erfolge	ɛ ʀ f ɔ l ɡ ə
erst	eː ʀ s t
Mittag	m ɪ t aː k
sei	z a ɪ
Feuer	f ɔ ɪ ɛ
gelöscht	ɡ ə l œ ʃ t
gewesen	ɡ ə v eː z ə n
Sprecher	ʃ p r ɛ ç ɛ
gilt	ɡ ɪ l t
Hinblick	h ɪ n b l ɪ k
Beschäftigten	b ə ʃ ɛ f t ɪ ç t ə n
Staatsbetriebe	ʃ t aː t s b ɛ t ʀ iː b ə
denen	d eː n ə n
gelungen	ɡ ə l ʊ ŋ ə n
Verhältnissen	f ɛ ʀ h ɛ l t n ɪ s ə n
anzupassen	a n t s uː p a s ə n
Sachschäden	z a x ʃ ɛː d ə n
hoch	h oː x
Koalitionspartner	k oː a l iː t s ɪ oː n s p a ʀ t n ɛ
Bündnis	b ʏ n d n ɪ s
äußerten	ɔ ɪ s ɛ t ə n
zufrieden	t s uː f r iː d ə n
über	ʏ b ɛ
ihnen	iː n ə n
Stolpe	ʃ t ɔ l p ə
Abstimmung	a p ʃ t ɪ m ʊ ŋ
SPD-Fraktion	ɛ s p eː d eː f r a k t s ɪ oː n
vormittags	f oː ʀ m ɪ t aː k s
schriftlich	ʃ r ɪ f t l ɪ ç
mitgeteilt	m ɪ t ɡ ə t a ɪ l t
regt	r eː k t
mein	m a ɪ n
Widerspruch	v iː d ɛ ʃ p r ʊ x
Italiens	iː t a l ɪ eː n s
politischem	p oː l iː t ɪ ʃ ə m
Gebälk	ɡ ə b ɛ l k
bleibt	b l a ɪ p t
kein	k a ɪ n
Stein	ʃ t a ɪ n
anderen	a n d ə r ə n
Entführer	ɛ n t f yː r ɛ
Landung	l a n d ʊ ŋ
lediglich	l eː d ɪ ɡ l ɪ ç
zehn	t s eː n
Minuten	m iː n uː t ə n
Beginn	b ə ɡ ɪ n
Betankung	b ə t a n k ʊ ŋ
Verfügung	f ɛ ʀ f yː ɡ ʊ ŋ
gestellt	ɡ ə ʃ t ɛ l t
grob	ɡ r oː p
Stämmen	ʃ t ɛ m ə n
sortiert	z ɔ ʀ t iː ʀ t
feiner	f a ɪ n ɛ
Sippen	z ɪ p ə n
Groß-	ɡ r oː s
Kleinfamilien	k l a ɪ n f a m iː l ɪ ə n
grünen	ɡ r yː n ə n
verbesserten	f ɛ ʀ b ɛ s ɛ t ə n
1,5	a ɪ n s f ʏ n f
Punkte	p ʊ ŋ k t ə
11,6	ɛ l f z ɛ k s
Prozent	p r oː t s ɛ n t
2,2	t s v a ɪ t s v a ɪ
zulegte	t s uː l eː k t ə
7,8	z iː b ə n a x t
hochschwang	h oː x ʃ v a ŋ
nun	n uː n
soll	z ɔ l
größte	ɡ r œ s t ə
Entwicklungshelfer	ɛ n t v ɪ k l ʊ ŋ s h ɛ l f ɛ
zweitgrößte	t s v a ɪ t ɡ r œ s t ə
Industrienation	ɪ n d ʊ s t ʀ ɪ ɛ n a t s ɪ oː n
Welt	v ɛ l t
endlich	ɛ n t l ɪ ç
politischen	p oː l iː t ɪ ʃ ə n
Statisten	ʃ t a t ɪ s t ə n
Charakterdarsteller	k a r a k t ɛ d a ʀ ʃ t ɛ l ɛ
aufsteigen	a ʊ f ʃ t a ɪ ɡ ə n
Grund	ɡ r ʊ n t
Festnahme	f ɛ s t n aː m ə
war	v aː ʀ
unabhängige	ʊ n a p h ɛ ŋ ɪ ɡ ə
Zeitung	t s a ɪ t ʊ ŋ
Meldung	m ɛ l d ʊ ŋ
Ermordung	ɛ ʀ m ɔ ʀ d ʊ ŋ
sechs	z ɛ k s
Polizisten	p oː l iː t s ɪ s t ə n
integristische	ɪ n t ɛ ɡ r ɪ s t ɪ ʃ ə
Terroristen	t ɛ r oː r ɪ s t ə n
veröffentlicht	f ɛ ʀ œ f ə n t l ɪ ç t
außerdem	a ʊ s ɛ d eː m
ihr	iː ʀ
erhobene	ɛ ʀ h oː b ə n ə
Nachforderungen	n a x f ɔ ʀ d ə r ʊ ŋ ə n
berücksichtigt	b ə r ʏ k s ɪ ç t ɪ ç t
mutmaßliche	m ʊ t m aː s l ɪ ç ə
RAF-Mann	r aː f m a n
Nähe	n ɛː ə
abgegebenen	a p ɡ ə ɡ eː b ə n ə n
Schuß	ʃ uː s
wem	v eː m
Tode	t oː d ə
gekommen	ɡ ə k ɔ m ə n
vorerst	f oː ʀ eː ʀ s t
Feld	f ɛ l t
Spekulation	ʃ p eː k uː l a t s ɪ oː n
erwartungsgemäß	ɛ ʀ v a ʀ t ʊ ŋ s ɡ ə m ɛː s
Reaktion	r eː a k t s ɪ oː n
altlinke	a l t l ɪ ŋ k ə
Abgeordnete	a p ɡ ə ɔ ʀ d n ə t ə
Benn	b ɛ n
Rede	r eː d ə
verworfen	f ɛ ʀ v ɔ ʀ f ə n
Rationalität	r a t s ɪ oː n aː l iː t ɛː t
Protestwahl	p r oː t ɛ s t v aː l
erschöpft	ɛ ʀ ʃ œ p f t
momentanen	m oː m ə n t aː n ə n
Abstrafung	a p s t ʀ a f ʊ ŋ
also	a l z oː
Abwahl	a p v aː l
vermeintlichen	f ɛ ʀ m a ɪ n t l ɪ ç ə n
Übels	yː b ə l s
Finanzminister	f iː n a n t s m iː n ɪ s t ɛ
Waigel	v a ɪ ɡ ə l
verkauft	f ɛ ʀ k a ʊ f t
dies	d iː s
notwendige	n ɔ t v ə n d ɪ ɡ ə
Sparmaßnahme	ʃ p a ʀ m a s n aː m ə
Bischöfe	b ɪ ʃ øː f ə
verbinden	f ɛ ʀ b ɪ n d ə n
damit	d aː m ɪ t
Hoffnung	h ɔ f n ʊ ŋ
Weg	v eː k
weiterzukommen	v a ɪ t ɛ t s uː k ɔ m ə n
was	v a s
lange	l a ŋ ə
Stärke	ʃ t ɛ ʀ k ə
Schweizer	ʃ v a ɪ t s ɛ
Regierungssystems	r eː ɡ iː r ʊ ŋ s z ʏ s t eː m s
galt	ɡ a l t
langsame	l a ŋ z aː m ə
letztlich	l ɛ t s t l ɪ ç
erfolgreiche	ɛ ʀ f ɔ l ɡ r a ɪ ç ə
Konsenssuche	k ɔ n z ɛ n s uː x ə
schwieriger	ʃ v iː r ɪ ɡ ɛ
Lage	l aː ɡ ə
ehemaligen	eː eː m a l ɪ ɡ ə n
DDR	d eː d eː ɛ ʀ
indessen	ɪ n d ɛ s ə n
bedenklich	b ə d ɛ ŋ k l ɪ ç
Vier	f iː ʀ
später	ʃ p ɛː t ɛ
erste	eː ʀ s t ə
sowjetische	z ɔ v j eː t ɪ ʃ ə
Atombombe	a t oː m b ɔ m b ə
gezündet	ɡ ə t s ʏ n d ə t
Vermittlungsversuchen	f ɛ ʀ m ɪ t l ʊ ŋ s f ɛ z uː x ə n
letzter	l ɛ t s t ɛ
Minute	m iː n uː t ə
räumte	r ɔ ɪ m t ə
keine	k a ɪ n ə
Chancen	ʃ ɐ s ə n
geschätzten	ɡ ə ʃ ɛ t s t ə n
Milliarden	m ɪ l iː a ʀ d ə n
Dollar	d ɔ l aː ʀ
Rüstungsausgaben	r ʏ s t ʊ ŋ s a ʊ s ɡ aː b ə n
